long,lat,intensity
-179.0,-26.0,46970.19530390954
-179.0,-27.0,47540.359431167955
-179.0,-28.0,48107.18417483922
-179.0,-29.0,48670.1701838941
-179.0,-30.0,49228.89563521538
-179.0,-31.0,49783.01087847773
-179.0,-32.0,50332.23221828228
-179.0,-33.0,50876.33489757657
-179.0,-34.0,51415.14534263126
-179.0,-35.0,51948.53272866467
-179.0,-36.0,52476.39992697739
-179.0,-37.0,52998.67389937726
-179.0,-38.0,53515.29561369276
-179.0,-39.0,54026.20956504808
-179.0,-40.0,54531.353000861345
-179.0,-41.0,55030.644962609455
-179.0,-42.0,55523.975273501506
-179.0,-43.0,56011.193617443365
-179.0,-44.0,56492.0988700792
-179.0,-45.0,56966.42885629342
-179.0,-46.0,57433.85071936468
-179.0,-47.0,57893.952094093
-179.0,-48.0,58346.23327888878
-179.0,-49.0,58790.10059941156
-179.0,-50.0,59224.86114843828
-179.0,-51.0,59649.71907305209
-179.0,-52.0,60063.77356098998
-179.0,-53.0,60466.01865335604
-179.0,-54.0,60855.344981379305
-179.0,-55.0,61230.543491175216
-179.0,-56.0,61590.31118339329
-179.0,-57.0,61933.25885518905
-179.0,-58.0,62257.920791188786
-179.0,-59.0,62562.76630910839
-179.0,-60.0,62846.2130255201
-179.0,-61.0,63106.641668965516
-179.0,-62.0,63342.41223215281
-179.0,-63.0,63551.881223219636
-179.0,-64.0,63733.41974874938
-179.0,-65.0,63885.4321390586
-179.0,-66.0,64006.3748097345
-179.0,-67.0,64094.775042936475
-179.0,-68.0,64149.24936785397
-179.0,-69.0,64168.52122213751
-179.0,-70.0,64151.43758513394
-179.0,-71.0,64096.98428932487
-179.0,-72.0,64004.29973829487
-179.0,-73.0,63872.68678754483
-179.0,-74.0,63701.62257808055
-179.0,-75.0,63490.76615136811
-179.0,-76.0,63239.96371726339
-179.0,-77.0,62949.25149304185
-179.0,-78.0,62618.85608073654
-179.0,-79.0,62249.19240056324
-179.0,-80.0,61840.85924912256
-179.0,-81.0,61394.63260110847
-179.0,-82.0,60911.45682116559
-179.0,-83.0,60392.43399707749
-179.0,-84.0,59838.81164541871
-179.0,-85.0,59251.96907500747
-179.0,-86.0,58633.40272093269
-179.0,-87.0,57984.71078168463
-179.0,-88.0,57307.57750329309
-179.0,-89.0,56603.75745685723
-178.0,90.0,56325.69242082582
-178.0,89.0,56478.188133777214
-178.0,88.0,56621.66005196104
-178.0,87.0,56755.15193703738
-178.0,86.0,56877.66758682954
-178.0,85.0,56988.172057017386
-178.0,84.0,57085.593989073386
-178.0,83.0,57168.82929183581
-178.0,82.0,57236.746381520665
-178.0,81.0,57288.19312939687
-178.0,80.0,57322.00560005634
-178.0,79.0,57337.0185890702
-178.0,78.0,57332.077890154105
-178.0,77.0,57306.05414237718
-178.0,76.0,57257.858031134274
-178.0,75.0,57186.45654612926
-178.0,74.0,57090.88993875801
-178.0,73.0,56970.288972813374
-178.0,72.0,56823.89202854392
-178.0,71.0,56651.061602240086
-178.0,70.0,56451.29974242873
-178.0,69.0,56224.26197937126
-178.0,68.0,55969.76933615224
-178.0,67.0,55687.818055795666
-178.0,66.0,55378.58673763365
-178.0,65.0,55042.4406452023
-178.0,64.0,54679.93302459325
-178.0,63.0,54291.80335360857
-178.0,62.0,53878.97252536783
-178.0,61.0,53442.53505237343
-178.0,60.0,52983.74845578107
-178.0,59.0,52504.02007733308
-178.0,58.0,52004.891615940935
-178.0,57.0,51488.02174549235
-178.0,56.0,50955.16721368438
-178.0,55.0,50408.16285254569
-178.0,54.0,49848.90094919053
-178.0,53.0,49279.31043002471
-178.0,52.0,48701.33630326452
-178.0,51.0,48116.91978377028
-178.0,50.0,47527.97949171434
-178.0,49.0,46936.39407372666
-178.0,48.0,46343.986543399114
-178.0,47.0,45752.510579191134
-178.0,46.0,45163.63895388836
-178.0,45.0,44578.95420305127
-178.0,44.0,43999.94157269551
-178.0,43.0,43427.98422117259
-178.0,42.0,42864.36058921386
-178.0,41.0,42310.2437975996
-178.0,40.0,41766.70288586836
-178.0,39.0,41234.70566951863
-178.0,38.0,40715.12296844435
-178.0,37.0,40208.73394650987
-178.0,36.0,39716.23230126828
-178.0,35.0,39238.23305328469
-178.0,34.0,38775.279705178866
-178.0,33.0,38327.851569630686
-178.0,32.0,37896.37110100767
-178.0,31.0,37481.21110444494
-178.0,30.0,37082.70173638497
-178.0,29.0,36701.137248983316
-178.0,28.0,36336.78246472653
-178.0,27.0,35989.878994712795
-178.0,26.0,35660.65123235785
-178.0,25.0,35349.312162436545
-178.0,24.0,35056.06902265464
-178.0,23.0,34781.12884141126
-178.0,22.0,34524.703851882274
-178.0,21.0,34287.016750621704
-178.0,20.0,34068.30573082545
-178.0,19.0,33868.829179138665
-178.0,18.0,33688.86988377714
-178.0,17.0,33528.738564436346
-178.0,16.0,33388.77650472468
-178.0,15.0,33269.35704928824
-178.0,14.0,33170.88572360652
-178.0,13.0,33093.79874721219
-178.0,12.0,33038.55974249852
-178.0,11.0,33005.65449188021
-178.0,10.0,32995.58366507922
-178.0,9.0,33008.85352346991
-178.0,8.0,33045.96470595583
-178.0,7.0,33107.39930554189
-178.0,6.0,33193.60655115681
-178.0,5.0,33304.98750806256
-178.0,4.0,33441.87929475768
-178.0,3.0,33604.53937738774
-178.0,2.0,33793.130538163525
-178.0,1.0,34007.707117813436
-178.0,0.0,34248.203101681
-178.0,-1.0,34514.422555523
-178.0,-2.0,34806.03282392964
-178.0,-3.0,35122.560787720795
-178.0,-4.0,35463.392344705535
-178.0,-5.0,35827.775140040714
-178.0,-6.0,36214.82443743683
-178.0,-7.0,36623.531899284564
-178.0,-8.0,37052.77693949306
-178.0,-9.0,37501.34023248654
-178.0,-10.0,37967.91890808575
-178.0,-11.0,38451.142935298434
-178.0,-12.0,38949.5921967435
-178.0,-13.0,39461.81377630175
-178.0,-14.0,39986.33902137113
-178.0,-15.0,40521.69999299746
-178.0,-16.0,41066.44497732077
-178.0,-17.0,41619.15279571072
-178.0,-18.0,42178.44571475032
-178.0,-19.0,42743.00081770942
-178.0,-20.0,43311.55975397478
-178.0,-21.0,43882.93683050807
-178.0,-22.0,44456.02544895134
-178.0,-23.0,45029.80292325053
-178.0,-24.0,45603.333735909
-178.0,-25.0,46175.771306865034
-178.0,-26.0,46746.35835844932
-178.0,-27.0,47314.425964035094
-178.0,-28.0,47879.391368050026
-178.0,-29.0,48440.75466221172
-178.0,-30.0,48998.09439836937
-178.0,-31.0,49551.0622132915
-178.0,-32.0,50099.37653613127
-178.0,-33.0,50642.815445943976
-178.0,-34.0,51181.20874520612
-178.0,-35.0,51714.42931624329
-178.0,-36.0,52242.38383109473
-178.0,-37.0,52765.00289169057
-178.0,-38.0,53282.23068616957
-178.0,-39.0,53794.014258400566
-178.0,-40.0,54300.29250081636
-178.0,-41.0,54800.98499488779
-178.0,-42.0,55295.980838222
-178.0,-43.0,55785.12761153387
-178.0,-44.0,56268.22065173936
-178.0,-45.0,56744.992808298135
-178.0,-46.0,57215.10486784413
-178.0,-47.0,57678.13683635935
-178.0,-48.0,58133.58026803777
-178.0,-49.0,58580.83182509492
-178.0,-50.0,59019.188242820004
-178.0,-51.0,59447.84285906662
-178.0,-52.0,59865.883847250596
-178.0,-53.0,60272.29426709997
-178.0,-54.0,60665.95401837861
-178.0,-55.0,61045.643750252595
-178.0,-56.0,61410.05074366292
-178.0,-57.0,61757.77674689378
-178.0,-58.0,62087.34770640099
-178.0,-59.0,62397.22529683065
-178.0,-60.0,62685.82011693633
-178.0,-61.0,62951.50638267392
-178.0,-62.0,63192.63791592389
-178.0,-63.0,63407.56519780855
-178.0,-64.0,63594.65323007942
-178.0,-65.0,63752.299927125845
-178.0,-66.0,63878.954745266994
-178.0,-67.0,63973.13724554294
-178.0,-68.0,64033.45528151081
-178.0,-69.0,64058.62250481445
-178.0,-70.0,64047.47488864571
-178.0,-71.0,63998.98598269668
-178.0,-72.0,63912.28063273358
-178.0,-73.0,63786.64692331402
-178.0,-74.0,63621.54613310814
-178.0,-75.0,63416.620528310326
-178.0,-76.0,63171.69886016724
-178.0,-77.0,62886.79947694834
-178.0,-78.0,62562.1310079062
-178.0,-79.0,62198.09062590161
-178.0,-80.0,61795.25994532767
-178.0,-81.0,61354.398661553234
-178.0,-82.0,60876.43608609776
-178.0,-83.0,60362.46077686756
-178.0,-84.0,59813.70850378872
-178.0,-85.0,59231.548825848215
-178.0,-86.0,58617.470584813265
-178.0,-87.0,57973.06664273667
-178.0,-88.0,57300.018203983534
-178.0,-89.0,56600.07906731466
-177.0,90.0,56325.69242082582
-177.0,89.0,56476.952706162454
-177.0,88.0,56619.18999905176
-177.0,87.0,56751.48134938315
-177.0,86.0,56872.86368050905
-177.0,85.0,56982.33394775568
-177.0,84.0,57078.8504525028
-177.0,83.0,57161.33559631108
-177.0,82.0,57228.680313002726
-177.0,81.0,57279.75035567758
-177.0,80.0,57313.39454291513
-177.0,79.0,57328.4549870561
-177.0,78.0,57323.779241171025
-177.0,77.0,57298.234214076176
-177.0,76.0,57250.721618612595
-177.0,75.0,57180.19464125865
-177.0,74.0,57085.67545454768
-177.0,73.0,56966.27314071653
-177.0,72.0,56821.20155783008
-177.0,71.0,56649.79665984985
-177.0,70.0,56451.532780461195
-177.0,69.0,56226.03740682251
-177.0,68.0,55973.10400288301
-177.0,67.0,55692.702490965654
-177.0,66.0,55384.9870627832
-177.0,65.0,55050.30106437941
-177.0,64.0,54689.178780772956
-177.0,63.0,54302.344032278714
-177.0,62.0,53890.70558250973
-177.0,61.0,53455.349444915395
-177.0,60.0,52997.528257568716
-177.0,59.0,52518.647972231134
-177.0,58.0,52020.25217126686
-177.0,57.0,51504.0043829149
-177.0,56.0,50971.66881031212
-177.0,55.0,50425.08992147979
-177.0,54.0,49866.171365643444
-177.0,53.0,49296.854685577244
-177.0,52.0,48719.098286370594
-177.0,51.0,48134.85709872511
-177.0,50.0,47546.063340574605
-177.0,49.0,46954.60873580407
-177.0,48.0,46362.328494746675
-177.0,47.0,45770.987299879635
-177.0,46.0,45182.26747385352
-177.0,45.0,44597.75943801121
-177.0,44.0,44018.954500317064
-177.0,43.0,43447.239944620145
-177.0,42.0,42883.896330817646
-177.0,41.0,42330.09686005819
-177.0,40.0,41786.90861259898
-177.0,39.0,41255.29542993433
-177.0,38.0,40736.122188480615
-177.0,37.0,40230.16020001605
-177.0,36.0,39738.09347420088
-177.0,35.0,39260.52559019466
-177.0,34.0,38797.98694635735
-177.0,33.0,38350.942187455745
-177.0,32.0,37919.79764538795
-177.0,31.0,37504.908669565004
-177.0,30.0,37106.58676391758
-177.0,29.0,36725.10648618229
-177.0,28.0,36360.71209896083
-177.0,27.0,36013.62398865112
-177.0,26.0,35684.04488579939
-177.0,25.0,35372.16592739832
-177.0,24.0,35078.17259753866
-177.0,23.0,34802.25056775316
-177.0,22.0,34544.591433302565
-177.0,21.0,34305.3983082378
-177.0,20.0,34084.89120272297
-177.0,19.0,33883.31206380228
-177.0,18.0,33700.92931897176
-177.0,17.0,33538.04172426841
-177.0,16.0,33394.98128886971
-177.0,15.0,33272.11502999818
-177.0,14.0,33169.845308427975
-177.0,13.0,33088.60850862171
-177.0,12.0,33028.87186011089
-177.0,11.0,32991.128248667956
-177.0,10.0,32975.88893627326
-177.0,9.0,32983.674195565596
-177.0,8.0,33015.00196357429
-177.0,7.0,33070.374725816895
-177.0,6.0,33150.26494883088
-177.0,5.0,33255.09947955167
-177.0,4.0,33385.24341600209
-177.0,3.0,33540.98401821375
-177.0,2.0,33722.51526492242
-177.0,1.0,33929.92366594912
-177.0,0.0,34163.175910247584
-177.0,-1.0,34422.108866097
-177.0,-2.0,34706.42235641611
-177.0,-3.0,35015.67501480158
-177.0,-4.0,35349.283394781116
-177.0,-5.0,35706.524365212565
-177.0,-6.0,36086.54068824717
-177.0,-7.0,36488.34955156649
-177.0,-8.0,36910.853720918974
-177.0,-9.0,37352.85489743113
-177.0,-10.0,37813.06880948999
-177.0,-11.0,38290.14154157909
-177.0,-12.0,38782.66660063812
-177.0,-13.0,39289.20224099984
-177.0,-14.0,39808.28860740984
-177.0,-15.0,40338.46430715139
-177.0,-16.0,40878.28208199108
-177.0,-17.0,41426.32331397168
-177.0,-18.0,41981.21116209007
-177.0,-19.0,42541.62218647348
-177.0,-20.0,43106.296370510376
-177.0,-21.0,43674.045498007734
-177.0,-22.0,44243.75988109498
-177.0,-23.0,44814.41346512026
-177.0,-24.0,45385.0673595745
-177.0,-25.0,45954.871859847
-177.0,-26.0,46523.06703437063
-177.0,-27.0,47088.98195659362
-177.0,-28.0,47652.032662430545
-177.0,-29.0,48211.718912611
-177.0,-30.0,48767.61983679183
-177.0,-31.0,49319.38853347076
-177.0,-32.0,49866.74569751263
-177.0,-33.0,50409.472346201954
-177.0,-34.0,50947.40171569219
-177.0,-35.0,51480.41040287885
-177.0,-36.0,52008.40883322363
-177.0,-37.0,52531.33114285445
-177.0,-38.0,53049.1245731499
-177.0,-39.0,53561.73848758922
-177.0,-40.0,54069.11313340726
-177.0,-41.0,54571.16828389191
-177.0,-42.0,55067.791910290834
-177.0,-43.0,55558.829044496786
-177.0,-44.0,56044.071004175494
-177.0,-45.0,56523.24516005041
-177.0,-46.0,56996.00542997887
-177.0,-47.0,57461.92368565768
-177.0,-48.0,57920.482254829454
-177.0,-49.0,58371.06769441988
-177.0,-50.0,58812.96599797545
-177.0,-51.0,59245.35938414382
-177.0,-52.0,59667.324791933854
-177.0,-53.0,60077.834183507555
-177.0,-54.0,60475.75672677886
-177.0,-55.0,60859.86289877999
-177.0,-56.0,61228.830517299895
-177.0,-57.0,61581.252673487536
-177.0,-58.0,61915.64750273322
-177.0,-59.0,62230.469695977015
-177.0,-60.0,62524.123619423706
-177.0,-61.0,62794.977878168436
-177.0,-62.0,63041.38112913063
-177.0,-63.0,63261.678921560226
-177.0,-64.0,63454.231319750215
-177.0,-65.0,63617.431042966666
-177.0,-66.0,63749.721842395746
-177.0,-67.0,63849.61682450372
-177.0,-68.0,63915.71642491222
-177.0,-69.0,63946.725736982546
-177.0,-70.0,63941.47090496537
-177.0,-71.0,63898.91430293757
-177.0,-72.0,63818.16823783914
-177.0,-73.0,63698.5069376687
-177.0,-74.0,63539.37661410605
-177.0,-75.0,63340.40342216555
-177.0,-76.0,63101.39917748705
-177.0,-77.0,62822.364733901086
-177.0,-78.0,62503.49096920444
-177.0,-79.0,62145.157374726085
-177.0,-80.0,61747.928293214136
-177.0,-81.0,61312.54689867419
-177.0,-82.0,60839.92705981788
-177.0,-83.0,60331.143274445814
-177.0,-84.0,59787.418904121696
-177.0,-85.0,59210.112975619995
-177.0,-86.0,58600.70584668456
-177.0,-87.0,57960.78405754338
-177.0,-88.0,57292.02470548466
-177.0,-89.0,56596.17968691108
-176.0,90.0,56325.69242082582
-176.0,89.0,56475.679550164416
-176.0,88.0,56616.66431314503
-176.0,87.0,56747.75775645604
-176.0,86.0,56868.03045237584
-176.0,85.0,56976.511590760914
-176.0,84.0,57072.18927861568
-176.0,83.0,57154.01236875867
-176.0,82.0,57220.894088499816
-176.0,81.0,57271.71767291803
-176.0,80.0,57305.344128087716
-176.0,79.0,57320.62216097059
-176.0,78.0,57316.400218718845
-176.0,77.0,57291.54048518053
-176.0,76.0,57244.93459088804
-176.0,75.0,57175.52070897533
-176.0,74.0,57082.30163714908
-176.0,73.0,56964.36340823629
-176.0,72.0,56820.89393142987
-176.0,71.0,56651.201144725615
-176.0,70.0,56454.730156924226
-176.0,69.0,56231.07887474563
-176.0,68.0,55980.011646080115
-176.0,67.0,55701.47050242739
-176.0,66.0,55395.583649814675
-176.0,65.0,55062.67093513486
-176.0,64.0,54703.246100803306
-176.0,63.0,54318.015731627755
-176.0,62.0,53907.87489053988
-176.0,61.0,53473.89953117073
-176.0,60.0,53017.33586218895
-176.0,59.0,52539.58691820724
-176.0,58.0,52042.196662562346
-176.0,57.0,51526.83200650844
-176.0,56.0,50995.26317584928
-176.0,55.0,50449.34288875477
-176.0,54.0,49890.984826893764
-176.0,53.0,49322.14188592831
-176.0,52.0,48744.784681146164
-176.0,51.0,48160.880760254404
-176.0,50.0,47572.374939176014
-176.0,49.0,46981.171129516144
-176.0,48.0,46389.11596992046
-176.0,47.0,45797.98450986342
-176.0,46.0,45209.468125729436
-176.0,45.0,44625.16477781747
-176.0,44.0,44046.571645649165
-176.0,43.0,43475.08011026169
-176.0,42.0,42911.972988498615
-176.0,41.0,42358.423867997226
-176.0,40.0,41815.49834460981
-176.0,39.0,41284.156928010925
-176.0,38.0,40765.25935733487
-176.0,37.0,40259.57005738462
-176.0,36.0,39767.76446714893
-176.0,35.0,39290.435985308985
-176.0,34.0,38828.10330072443
-176.0,33.0,38381.21790763161
-176.0,32.0,37950.17164305274
-176.0,31.0,37535.30412498525
-176.0,30.0,37136.910011400745
-176.0,29.0,36755.24603903996
-176.0,28.0,36390.53783470347
-176.0,27.0,36042.98651782731
-176.0,26.0,35712.77512971048
-176.0,25.0,35400.07493056087
-176.0,24.0,35105.05160001951
-176.0,23.0,34827.87136024202
-176.0,22.0,34568.7070140056
-176.0,21.0,34327.74385546566
-176.0,20.0,34105.185370600215
-176.0,19.0,33901.25860111262
-176.0,18.0,33716.21900310644
-176.0,17.0,33550.35459392126
-176.0,16.0,33403.98915088515
-176.0,15.0,33277.48420796997
-176.0,14.0,33171.239593565
-176.0,13.0,33085.692267287166
-176.0,12.0,33021.31324748526
-176.0,11.0,32978.602474309184
