,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
111715,1993-09-25T00:00:00,8.0,-25.6833,-54.4555,25,9,1993
114727,1998-11-22T00:00:00,,-36.3848,-56.7066,22,11,1998
115080,1996-04-24T00:00:00,1.0,-36.35,-56.8667,24,4,1996
118333,1993-11-03T00:00:00,,-2.6397,-60.8786,3,11,1993
118491,1996-01-05T00:00:00,8.0,-17.1384,-71.8702,5,1,1996
121198,1999-11-05T00:00:00,1.0,-17.4078,-66.138,5,11,1999
121660,1999-12-08T00:00:00,,-35.2807,-62.835,8,12,1999
121935,1999-08-03T00:00:00,4.0,-18.1634,-70.6726,3,8,1999
122125,1998-12-28T00:00:00,,-35.2379,-63.9483,28,12,1998
123235,1994-03-18T00:00:00,4.0,-18.0936,-67.1045,18,3,1994
125277,1998-11-13T00:00:00,10.0,-36.2941,-56.7756,13,11,1998
126496,1998-03-02T00:00:00,1.0,-0.44399799999999995,-76.7323,2,3,1998
132369,1998-09-22T00:00:00,,-34.7612,-55.7068,22,9,1998
137740,1999-11-26T00:00:00,,-36.2941,-56.7756,26,11,1999
