decimalLongitude,decimalLatitude,individualCount
-90,0,0.031424800452517124
-82,-5,0.006284960090503425
-81,-4,0.06284960090503425
-80,-5,0.6033561686883288
-80,-4,0.05656464081453083
-80,-2,0.006284960090503425
-80,0,0.01256992018100685
-79,-6,0.5342216076927911
-79,0,0.006284960090503425
-79,1,0.0502796807240274
-78,-8,0.01256992018100685
-78,-7,0.0502796807240274
-78,0,0.09427440135755139
-78,1,0.7227704104078939
-77,-12,0.006284960090503425
-77,-11,0.04399472063352398
-77,-6,0.031424800452517124
-77,-5,0.0251398403620137
-77,1,0.031424800452517124
-76,-13,0.05656464081453083
-76,-12,0.6536358494123562
-76,-11,0.006284960090503425
-76,-10,0.006284960090503425
-76,0,0.9553139337565207
-76,1,0.1696939224435925
-76,3,0.3205329646156747
-76,4,0.13198416190057194
-75,-12,0.006284960090503425
-75,-11,0.0502796807240274
-75,-10,0.06284960090503425
-75,-1,0.006284960090503425
-75,4,0.13826912199107536
-74,-15,0.0502796807240274
-74,-8,6.278675130412922
-74,-5,2.5642637169253977
-74,4,0.0754195210860411
-73,-4,0.15712400226258563
-73,-3,2.8282320407265416
-73,4,0.0502796807240274
-72,-16,0.33310288479668154
-72,-13,0.4902268870592672
-72,-3,0.3016780843441644
-72,2,0.0502796807240274
-72,4,0.0251398403620137
-71,-33,0.018854880271510274
-71,-17,0.1696939224435925
-71,-16,0.11312928162906166
-71,-14,0.06284960090503425
-71,-13,1.0621582552950788
-71,-12,0.031424800452517124
-71,-8,0.01256992018100685
-70,-39,0.006284960090503425
-70,-38,0.01256992018100685
-70,-18,0.2891081641631576
-70,-17,0.10684432153855823
-70,-15,0.0251398403620137
-70,-12,0.6284960090503425
-70,-3,0.3079630444346678
-69,-15,0.0251398403620137
-69,-12,0.3205329646156747
-69,-9,0.04399472063352398
-69,-8,0.06913456099553768
-69,-4,0.0251398403620137
-68,-23,0.006284960090503425
-68,-12,0.4839419269687638
-67,-33,0.018854880271510274
-67,-26,0.06284960090503425
-67,-22,0.03770976054302055
-67,-18,0.01256992018100685
-67,-14,0.018854880271510274
-67,-8,0.01256992018100685
-67,-5,0.5782163283263152
-67,3,0.006284960090503425
-66,-40,0.0251398403620137
-66,-32,0.01256992018100685
-66,-27,0.03770976054302055
-66,-22,0.6410659292313494
-66,-21,0.006284960090503425
-66,-17,0.251398403620137
-66,-15,0.031424800452517124
-66,-13,0.3268179247061781
-66,-11,0.006284960090503425
-66,-10,0.018854880271510274
-65,-24,0.03770976054302055
-65,-22,0.21368864307711646
-65,-10,0.01256992018100685
-64,-24,0.006284960090503425
-64,-14,0.018854880271510274
-63,-37,0.01256992018100685
-63,-34,0.1005593614480548
-63,-32,1.35755137954874
-63,-24,0.01256992018100685
-63,-17,0.20740368298661302
-62,-39,0.006284960090503425
-62,-34,0.6410659292313494
-62,-33,0.6284960090503425
-62,-32,0.1256992018100685
-62,-31,0.01256992018100685
-62,-30,1.7535038652504558
-62,-17,0.03770976054302055
-61,-34,0.0502796807240274
-61,-33,0.9930236942995411
-61,-32,0.06913456099553768
-61,-31,2.319150273395764
-61,-30,0.0251398403620137
-61,-25,0.22625856325812332
-61,1,0.018854880271510274
-60,-33,0.08170448117654452
-60,-32,0.7416252906794042
-60,-31,5.298221356294388
-60,-30,7.215134183897932
-60,-29,0.31424800452517127
-60,-24,0.4902268870592672
-60,-15,0.006284960090503425
-60,-3,0.006284960090503425
-60,3,0.01256992018100685
-59,-33,1.9546225881465655
-59,-32,0.01256992018100685
-59,-30,2.6208283577399283
-59,-28,0.06913456099553768
-59,-22,1.2884168185532021
-59,-3,0.4210923260637295
-58,-38,0.0754195210860411
-58,-36,0.08170448117654452
-58,-35,0.1256992018100685
-58,-34,0.6662057695933631
-58,-33,10.275909747973099
-58,-32,0.03770976054302055
-58,-31,0.0251398403620137
-58,-27,0.6096411287788323
-58,-26,2.3694299541197914
-57,-37,0.11312928162906166
-57,-36,0.4210923260637295
-57,-35,1.3072716988247124
-57,-34,1.520960341901829
-57,-33,0.0251398403620137
-57,-32,0.006284960090503425
-57,-30,0.11312928162906166
-57,-29,0.006284960090503425
-57,-28,0.03770976054302055
-57,-25,17.956130978568286
-57,-24,3.676701652944504
-56,-37,0.1005593614480548
-56,-36,0.7541952108604111
-56,-34,0.006284960090503425
-56,-33,0.0251398403620137
-56,-27,0.006284960090503425
-56,-25,0.018854880271510274
-56,-20,0.10684432153855823
-56,-19,0.006284960090503425
-56,-17,0.6850606498648734
-56,-16,0.006284960090503425
-55,-34,0.018854880271510274
-54,-34,0.7039155301363836
-54,-33,1.1564326566526304
-53,-34,0.05656464081453083
-53,-33,0.9993086543900446
-53,-32,0.23254352334862674
-53,-28,0.006284960090503425
-52,-32,0.018854880271510274
-52,-31,0.0251398403620137
-52,-28,0.01256992018100685
-52,-24,0.006284960090503425
-52,-23,0.08170448117654452
-52,4,0.6473508893218528
-51,-30,0.01256992018100685
-50,-31,0.43366224624473637
-50,-29,0.1256992018100685
-49,-16,0.05656464081453083
-48,-22,0.2891081641631576
-47,-24,0.04399472063352398
-47,-22,0.08798944126704795
-46,-23,0.03770976054302055
-46,-21,0.03770976054302055
-45,-22,0.06284960090503425
-44,-23,0.031424800452517124
-43,-22,0.08170448117654452
-41,-22,0.06284960090503425
