,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
156989,10/29/2016 0:00,40.0,-37.431340000000006,-57.19206,29.0,10.0,2016.0
156991,8/17/2003 0:00,,-9.498165,-78.35209,17.0,8.0,2003.0
156997,11/3/2019 0:00,12.0,-31.597052,-61.165980000000005,3.0,11.0,2019.0
157024,9/19/2015 0:00,1.0,-12.22435,-76.98788499999999,19.0,9.0,2015.0
157052,12/24/2006 0:00,,-42.46298,-64.10454,24.0,12.0,2006.0
157087,10/17/2020 0:00,20.0,-33.345172999999996,-60.219402,17.0,10.0,2020.0
157088,11/23/2020 0:00,2.0,-34.878296,-54.915516000000004,23.0,11.0,2020.0
157115,12/2/2010 0:00,30.0,-32.66411,-58.1369,2.0,12.0,2010.0
157137,10/8/2016 0:00,20.0,-33.497627,-58.796369999999996,8.0,10.0,2016.0
157142,12/6/2018 0:00,1.0,-33.44631,-58.682087,6.0,12.0,2018.0
157155,2/25/2014 0:00,2.0,-17.880808,-71.00477,25.0,2.0,2014.0
157193,9/26/2019 0:00,2.0,-17.282626999999998,-56.698809999999995,26.0,9.0,2019.0
157201,8/30/2020 0:00,3.0,-31.492379999999997,-60.604427,30.0,8.0,2020.0
157209,12/24/2013 0:00,2.0,-31.220346000000003,-50.955529999999996,24.0,12.0,2013.0
157277,4/12/2014 0:00,9.0,-33.2853,-70.80435,12.0,4.0,2014.0
157322,12/26/2019 0:00,1.0,-27.26851,152.85875,26.0,12.0,2019.0
157400,12/22/2010 0:00,3.0,-34.945755,117.94801000000001,22.0,12.0,2010.0
157457,5/14/2016 0:00,1.0,-10.988132,-76.05283,14.0,5.0,2016.0
157507,10/18/2020 0:00,3.0,-24.918781,-47.780186,18.0,10.0,2020.0
157587,9/6/2016 0:00,29.0,-13.740770000000001,-66.08308000000001,6.0,9.0,2016.0
157598,12/10/2018 0:00,15.0,-36.017006,-57.84030500000001,10.0,12.0,2018.0
157639,11/21/2015 0:00,5.0,-34.746666,-55.822834,21.0,11.0,2015.0
157727,3/7/2011 0:00,9.0,-18.416539999999998,-70.32240999999999,7.0,3.0,2011.0
157782,12/30/2020 0:00,1.0,-17.431726,-66.220085,30.0,12.0,2020.0
157790,1/2/2016 0:00,1.0,-27.212652000000002,153.06968999999998,2.0,1.0,2016.0
157791,2/4/1989 0:00,2.0,-41.734276,174.18011,4.0,2.0,1989.0
157818,11/28/2014 0:00,1.0,-34.82282,138.59045,28.0,11.0,2014.0
157823,11/16/2019 0:00,3.0,-33.490906,-58.680232999999994,16.0,11.0,2019.0
157858,5/14/2014 0:00,,-6.935484,-79.866066,14.0,5.0,2014.0
157861,12/31/2020 0:00,1.0,-27.428079999999998,152.44766,31.0,12.0,2020.0
157890,9/11/2004 0:00,130.0,-25.266666,-57.616665000000005,11.0,9.0,2004.0
157909,4/25/2009 0:00,1.0,-23.735619,133.85678000000001,25.0,4.0,2009.0
157942,10/17/2020 0:00,7.0,-24.314083,-57.030030000000004,17.0,10.0,2020.0
158058,2/24/2018 0:00,30.0,-30.649209999999997,-59.98797,24.0,2.0,2018.0
158075,12/6/2020 0:00,6.0,-17.892746,-70.99211,6.0,12.0,2020.0
158076,1/11/2012 0:00,1.0,-18.370153,-69.366005,11.0,1.0,2012.0
158143,9/6/2020 0:00,1.0,-31.677415999999997,-60.751433999999996,6.0,9.0,2020.0
158165,9/15/2019 0:00,1.0,-29.9667,-57.191612,15.0,9.0,2019.0
158211,12/6/2019 0:00,3.0,-34.662632,-54.2937,6.0,12.0,2019.0
158259,2/3/2008 0:00,70.0,-35.62533,-69.156166,3.0,2.0,2008.0
158279,10/15/2008 0:00,3.0,-21.385310999999998,-61.405333999999996,15.0,10.0,2008.0
158354,1/20/2014 0:00,,-32.862576000000004,151.68523000000002,20.0,1.0,2014.0
158388,8/12/2016 0:00,1.0,-0.508666,-76.35599,12.0,8.0,2016.0
158391,2/1/2020 0:00,15.0,-34.608204,-58.35397,1.0,2.0,2020.0
158401,8/14/2019 0:00,4.0,-12.04251,-71.19201,14.0,8.0,2019.0
158434,11/15/2019 0:00,3.0,-33.445026,-59.07617,15.0,11.0,2019.0
158477,11/3/2019 0:00,1.0,-22.859351999999998,-47.437077,3.0,11.0,2019.0
158544,1/5/2012 0:00,2.0,-32.705482,115.71365,5.0,1.0,2012.0
158552,8/24/2018 0:00,1.0,-11.888369,-71.40795,24.0,8.0,2018.0
158582,3/5/2009 0:00,,-32.840584,151.70335,5.0,3.0,2009.0
158603,2/15/2005 0:00,10.0,-17.433332,-66.21667,15.0,2.0,2005.0
158607,8/16/2020 0:00,8.0,-25.276876,-57.631347999999996,16.0,8.0,2020.0
158620,2/22/2004 0:00,,-22.316668,-59.05,22.0,2.0,2004.0
158655,10/22/2016 0:00,1.0,-27.299134999999996,153.03667,22.0,10.0,2016.0
158665,2/8/2002 0:00,2.0,-25.266666,-57.616665000000005,8.0,2.0,2002.0
158732,12/27/2020 0:00,6.0,-34.878296,-54.915516000000004,27.0,12.0,2020.0
158747,12/26/2014 0:00,1.0,-27.316059999999997,153.06354,26.0,12.0,2014.0
158755,12/9/2006 0:00,,-33.29782,-58.71111,9.0,12.0,2006.0
158771,2/7/2019 0:00,1.0,-31.926059999999996,115.80703999999999,7.0,2.0,2019.0
158797,9/23/2020 0:00,10.0,-25.267828,-57.61260600000001,23.0,9.0,2020.0
158841,8/5/2012 0:00,4.0,-24.369772,-60.31374,5.0,8.0,2012.0
158858,2/27/2016 0:00,1.0,-37.99792,144.59175,27.0,2.0,2016.0
158867,1/19/2015 0:00,,-37.182392,175.32367,19.0,1.0,2015.0
158933,9/26/2018 0:00,3.0,-12.027584,-71.18365,26.0,9.0,2018.0
159074,3/21/2015 0:00,,-23.735619,133.85678000000001,21.0,3.0,2015.0
159111,10/13/2009 0:00,,-37.99792,144.59175,13.0,10.0,2009.0
159171,11/9/2020 0:00,1.0,-27.651047,-64.3622,9.0,11.0,2020.0
159180,9/11/2020 0:00,1.0,-25.267828,-57.61260600000001,11.0,9.0,2020.0
159189,10/11/2020 0:00,1.0,-31.842451,-60.51999300000001,11.0,10.0,2020.0
159211,12/26/2019 0:00,1895.0,-30.739927,-60.165535,26.0,12.0,2019.0
159214,1/5/2020 0:00,1.0,-28.607466,153.54716000000002,5.0,1.0,2020.0
159252,5/9/2014 0:00,10.0,-13.618027,-71.73042,9.0,5.0,2014.0
159275,1/27/2019 0:00,1.0,-37.431892,-57.191680000000005,27.0,1.0,2019.0
159292,8/10/1995 0:00,6.0,-22.55,-59.2833,10.0,8.0,1995.0
159298,2/3/2016 0:00,2.0,-12.285034,-76.88707,3.0,2.0,2016.0
159307,5/5/2018 0:00,,-16.358610000000002,-71.2,5.0,5.0,2018.0
159323,3/18/2018 0:00,5.0,-13.718588,-76.158455,18.0,3.0,2018.0
159360,2/3/2016 0:00,2.0,-37.166472999999996,175.31351999999998,3.0,2.0,2016.0
159419,9/26/2019 0:00,2.0,-17.357506,-56.768127,26.0,9.0,2019.0
159474,8/12/2018 0:00,3.0,-25.267828,-57.61260600000001,12.0,8.0,2018.0
159477,10/9/1983 0:00,1.0,-11.888369,-71.40795,9.0,10.0,1983.0
159508,8/20/2018 0:00,3.0,-31.847206,-60.933780000000006,20.0,8.0,2018.0
159522,1/3/2019 0:00,1.0,-38.044914,144.50781,3.0,1.0,2019.0
159567,12/26/2014 0:00,1.0,-35.516290000000005,143.75267,26.0,12.0,2014.0
159579,1/9/1990 0:00,79.0,-34.123173,-58.230286,9.0,1.0,1990.0
159584,11/7/1998 0:00,1.0,-12.42639,130.93723,7.0,11.0,1998.0
159594,1/24/2014 0:00,1.0,-32.853629999999995,151.67758,24.0,1.0,2014.0
159616,11/11/2020 0:00,1.0,-23.210720000000002,-44.72617,11.0,11.0,2020.0
159686,11/5/2020 0:00,1.0,-32.246365000000004,-54.064484,5.0,11.0,2020.0
159694,5/13/2014 0:00,2.0,-6.826550999999999,-79.93965,13.0,5.0,2014.0
159736,11/4/2011 0:00,5.0,-13.763229,-66.09843000000001,4.0,11.0,2011.0
159783,9/30/2010 0:00,100.0,-25.266666,-57.616665000000005,30.0,9.0,2010.0
159797,10/22/2014 0:00,,-32.124454,-52.708305,22.0,10.0,2014.0
