,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
61809,2009-03-17T00:00:00,,-34.039,151.205,17,3,2009
61862,2005-02-06T00:00:00,1.0,-25.2667,-57.6167,6,2,2005
61883,2009-02-12T00:00:00,5.0,-31.4167,-62.0833,12,2,2009
62112,2009-12-14T00:00:00,3.0,-34.4061,-53.7776,14,12,2009
62227,2009-12-14T00:00:00,1.0,-33.5304,-71.6023,14,12,2009
62804,2009-03-28T00:00:00,1.0,-34.0411,151.19899999999998,28,3,2009
62829,2004-10-14T00:00:00,20.0,-25.2667,-57.6167,14,10,2004
62964,2008-10-04T00:00:00,,-37.6133,-57.3282,4,10,2008
62999,2003-10-23T00:00:00,,-18.4128,-70.3235,23,10,2003
64687,2009-11-11T00:00:00,4.0,-38.7691,-62.3433,11,11,2009
64688,2000-12-16T00:00:00,20.0,-38.7712,-62.346000000000004,16,12,2000
64955,2008-12-30T00:00:00,,-31.7358,-56.011,30,12,2008
65059,2004-09-02T00:00:00,52.0,-25.2667,-57.6167,2,9,2004
65085,2000-10-21T00:00:00,9.0,-25.2667,-57.6167,21,10,2000
65268,2009-05-10T00:00:00,1.0,-34.0222,25.6926,10,5,2009
65492,2009-10-31T00:00:00,1.0,-25.5547,-48.3027,31,10,2009
65845,2004-02-09T00:00:00,1.0,-29.9617,-71.3218,9,2,2004
66534,2007-11-12T00:00:00,16.0,-36.2941,-56.7756,12,11,2007
67308,2008-10-01T00:00:00,9.0,-32.918,-54.4522,1,10,2008
67391,2007-08-13T00:00:00,2.0,-20.0863,-56.6147,13,8,2007
67481,2004-10-12T00:00:00,,-12.355,-70.7029,12,10,2004
67702,2000-11-17T00:00:00,,-22.545,-59.3111,17,11,2000
67970,2009-10-08T00:00:00,1.0,-12.56,-69.1897,8,10,2009
68379,2008-09-29T00:00:00,20.0,-34.8415,-54.6746,29,9,2008
68489,2004-09-22T00:00:00,27.0,-25.2667,-57.6167,22,9,2004
68611,2008-11-15T00:00:00,1.0,-6.93548,-79.8661,15,11,2008
68652,2001-10-08T00:00:00,,-21.1317,-58.5528,8,10,2001
68984,2009-03-21T00:00:00,,-34.0411,151.19899999999998,21,3,2009
69131,2004-10-01T00:00:00,2.0,-12.6634,-69.8749,1,10,2004
69351,2008-10-05T00:00:00,,-35.916,-57.4178,5,10,2008
69368,2009-03-22T00:00:00,,-34.0411,151.19899999999998,22,3,2009
69567,2004-10-28T00:00:00,1.0,-16.2806,-67.8571,28,10,2004
69704,2007-11-13T00:00:00,,-33.0313,-59.4032,13,11,2007
70087,2004-10-14T00:00:00,2000.0,-31.1311,-50.8303,14,10,2004
70090,2003-08-24T00:00:00,5.0,-25.2667,-57.6167,24,8,2003
70117,2006-04-19T00:00:00,,-36.2941,-56.7756,19,4,2006
70439,2004-09-17T00:00:00,15.0,-31.1138,-50.8566,17,9,2004
70900,2003-09-15T00:00:00,,-21.07,-58.8844,15,9,2003
71161,2007-01-06T00:00:00,,-33.2978,-58.7111,6,1,2007
71190,2009-09-10T00:00:00,2.0,-25.2777,-57.6312,10,9,2009
71208,2003-02-16T00:00:00,12.0,-18.4165,-70.3224,16,2,2003
71455,2008-09-21T00:00:00,,-23.416,-45.0554,21,9,2008
72116,2009-01-19T00:00:00,4.0,-29.9253,-71.2787,19,1,2009
