decimalLongitude,decimalLatitude,individualCount,year
-56,-34,1,2020
-61,-29,2,2020
-64,-30,1,2020
-73,-3,12,2020
-80,-5,8,2020
-69,-8,1,2020
-54,-33,3,2020
-61,-33,2,2020
-76,3,3,2020
-57,-25,7,2020
-59,-22,1,2020
-58,-26,20,2020
-76,3,1,2020
-57,-34,3,2020
-55,-34,2,2020
-76,3,2,2020
-57,-25,25,2020
-69,-27,1,2020
-59,-34,10,2020
-53,-32,20,2020
-60,-29,5,2020
-56,-34,13,2020
-57,-25,12,2020
-57,-37,3,2020
-57,-25,2,2020
-60,-30,35,2020
-57,-35,1,2020
-61,-33,8,2020
-62,-17,4,2020
-56,-24,21,2020
-57,-25,87,2020
-76,-12,2,2020
-51,-31,200,2020
-72,4,1,2020
-58,-26,48,2020
-57,-25,14,2020
-57,-25,140,2020
-47,-22,3,2020
-58,-38,3,2020
-54,-34,15,2020
-76,2,1,2020
-72,-13,4,2020
-64,-27,7,2020
-73,-3,1,2020
-57,-25,11,2020
-54,-34,1,2020
-71,-13,1,2020
-62,-30,8,2020
-80,-2,1,2020
-56,-33,11,2020
-53,-34,48,2020
-73,-13,1,2020
-54,-34,2,2020
-57,-25,42,2020
-56,-33,15,2020
-56,-34,2,2020
-72,-13,1,2020
-46,-23,40,2020
-72,-16,1,2020
-59,-30,1,2020
-57,-25,10,2020
-57,-25,7,2020
-46,-24,1,2020
-57,-25,57,2020
-60,-31,3,2020
-60,-33,1,2020
-57,-25,3,2020
-58,-38,6,2020
-56,-34,2,2020
-63,-31,10,2020
-61,-33,8,2020
-60,-31,1,2020
-58,-35,40,2020
-76,-10,39,2020
-57,-25,3,2020
-62,-34,3,2020
-58,-34,2,2020
-58,-33,1,2020
-76,-12,1,2020
-54,-34,8,2020
-60,-30,350,2020
-57,-25,2,2020
-61,-33,1,2020
-57,-30,2,2020
-57,-25,4,2020
-58,-26,10,2020
-71,-16,1,2020
-69,-12,1,2020
-54,-34,4,2020
-58,-33,2,2020
-60,-31,4,2020
-59,-30,7,2020
-62,-33,35,2020
-73,-3,25,2020
-73,-3,1,2020
-73,-3,5,2020
-60,-30,35,2020
-56,-34,2,2020
-57,-25,74,2020
-55,-27,1,2020
-57,-25,3,2020
-61,-30,5,2020
-58,-26,1,2020
-57,-25,5,2020
-54,-33,1,2020
-56,-25,1,2020
-57,-25,10,2020
-73,-3,65,2020
-65,-24,5,2020
-56,-34,7,2020
-78,-8,1,2020
-66,-17,3,2020
-54,-34,1,2020
-46,-24,3,2020
-56,-31,2,2020
-58,-34,1,2020
-76,-12,4,2020
-60,-30,2,2020
-71,-13,1,2020
-54,-34,5,2020
-75,4,2,2020
-59,-28,4,2020
-72,-16,9,2020
-62,-30,5,2020
-76,-12,1,2020
-58,-26,6,2020
-66,-10,2,2020
-54,-34,25,2020
-72,-13,1,2020
-57,-25,15,2020
-54,-34,1,2020
-52,-32,2,2020
-58,-34,15,2020
-57,-25,14,2020
-58,-34,19,2020
-55,-34,1,2020
-73,-3,12,2020
-48,-22,10,2020
-57,-25,8,2020
-50,-31,2,2020
-58,-26,20,2020
-69,-12,3,2020
-54,-25,2,2020
-58,-33,3,2020
-61,-33,32,2020
-60,-31,3,2020
-76,3,3,2020
-62,-30,4,2020
-76,-10,39,2020
-58,-33,4,2020
-57,-25,12,2020
-57,-35,3,2020
-60,-22,4,2020
-73,-3,12,2020
-57,-25,96,2020
-60,-31,1,2020
-58,-26,1,2020
-62,-30,1,2020
-69,-12,1,2020
-57,-25,44,2020
-58,-34,1,2020
-73,-3,1,2020
-54,-34,15,2020
-54,-32,3,2020
-57,-25,7,2020
-61,-33,24,2020
-58,-26,2,2020
-62,-30,4,2020
-46,-23,3,2020
-57,-30,25,2020
-57,-35,1,2020
-58,-26,10,2020
-57,-25,40,2020
-51,-30,89,2020
-47,-22,2,2020
-60,-31,2,2020
-57,-25,14,2020
-58,-33,1,2020
-58,-26,80,2020
-57,-37,5,2020
-57,-25,23,2020
-57,-25,15,2020
-76,3,3,2020
-57,-25,2,2020
-61,-31,16,2020
-57,-25,1,2020
-58,-35,2,2020
-54,-34,14,2020
-54,-33,4,2020
-69,-51,1,2020
-65,-47,1,2020
-54,-25,2,2020
-58,-33,14,2020
-57,-25,3,2020
-60,-28,100,2020
-61,-31,20,2020
-57,-25,22,2020
-60,-31,6,2020
-55,-27,1,2020
-71,-13,1,2020
-50,-30,1,2020
-54,-33,15,2020
-58,-34,1,2020
-71,-13,10,2020
-50,-31,1,2020
-58,-34,1,2020
-58,-33,5,2020
