,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
81113,3/5/2008 0:00,1.0,-17.94836,-63.160571999999995,5.0,3.0,2008.0
81114,1/8/2020 0:00,1.0,-38.7175,-68.16199999999999,8.0,1.0,2020.0
81115,10/17/2020 0:00,2.0,-25.59771,-54.488827,17.0,10.0,2020.0
81116,11/28/2019 0:00,7.0,-32.149235,-53.750637,28.0,11.0,2019.0
81121,9/7/2016 0:00,6.0,-22.301389999999998,-47.5225,7.0,9.0,2016.0
81125,11/17/2017 0:00,2.0,-28.483507,-52.799690000000005,17.0,11.0,2017.0
81130,12/16/2020 0:00,3.0,-22.775254999999998,-47.0945,16.0,12.0,2020.0
81132,11/24/2020 0:00,2.0,-19.475217999999998,-44.89117,24.0,11.0,2020.0
81134,12/21/2014 0:00,1.0,-33.6008,-70.47026,21.0,12.0,2014.0
81136,8/8/2017 0:00,1.0,-3.904546,-58.77319,8.0,8.0,2017.0
81137,3/18/2015 0:00,1.0,-47.75456,-65.89848,18.0,3.0,2015.0
81139,12/25/2018 0:00,1.0,-22.063679,-42.537033,25.0,12.0,2018.0
81140,3/6/2020 0:00,1.0,-3.277333,-72.92484,6.0,3.0,2020.0
81142,3/28/2018 0:00,3.0,-29.537312,-60.22690600000001,28.0,3.0,2018.0
81144,3/20/2018 0:00,1.0,-17.4724,-63.668569999999995,20.0,3.0,2018.0
81147,10/28/2019 0:00,2.0,-36.325336,-56.747868000000004,28.0,10.0,2019.0
81150,10/18/2020 0:00,2.0,-25.410093,-57.58184,18.0,10.0,2020.0
81153,10/16/2017 0:00,2.0,-35.445984,-58.806976,16.0,10.0,2017.0
81155,12/27/2020 0:00,1.0,-35.39066,-57.14751,27.0,12.0,2020.0
81156,12/24/2019 0:00,1.0,-28.633352000000002,-49.497902,24.0,12.0,2019.0
81157,12/2/2017 0:00,3.0,-32.969646000000004,-68.80545,2.0,12.0,2017.0
81158,10/22/2016 0:00,1.0,-21.997318,-42.540928,22.0,10.0,2016.0
81159,1/6/2019 0:00,2.0,-34.451584000000004,-57.71674300000001,6.0,1.0,2019.0
81165,11/28/2017 0:00,1.0,-34.680504,-58.441990000000004,28.0,11.0,2017.0
81166,1/30/2019 0:00,1.0,-31.869099,-60.615185,30.0,1.0,2019.0
81170,10/27/2019 0:00,1.0,-36.36123,-56.7157,27.0,10.0,2019.0
81175,12/8/2020 0:00,8.0,-38.530834000000006,-58.9295,8.0,12.0,2020.0
81177,12/28/2020 0:00,2.0,-33.422836,-59.091938,28.0,12.0,2020.0
81179,12/29/2019 0:00,1.0,-19.210794,-45.002174,29.0,12.0,2019.0
81181,12/22/2019 0:00,1.0,-34.85849,-58.06097,22.0,12.0,2019.0
81183,2/3/2017 0:00,2.0,-34.759646999999994,-56.431274,3.0,2.0,2017.0
81184,12/30/2019 0:00,2.0,-25.55,-54.570857999999994,30.0,12.0,2019.0
81186,10/26/2016 0:00,24.0,-27.444723,-59.04889,26.0,10.0,2016.0
81187,2/17/2019 0:00,2.0,-29.512558000000002,-60.18091999999999,17.0,2.0,2019.0
81188,10/6/2018 0:00,3.0,-27.405193,-55.92585,6.0,10.0,2018.0
81190,12/31/2020 0:00,1.0,-38.141,-61.798331999999995,31.0,12.0,2020.0
81196,3/4/2020 0:00,2.0,-31.135697999999998,-62.795635,4.0,3.0,2020.0
81199,10/9/2016 0:00,1.0,-22.286673999999998,-47.545246,9.0,10.0,2016.0
81200,12/9/2018 0:00,2.0,-21.056822,-49.685257,9.0,12.0,2018.0
81202,11/14/2020 0:00,4.0,-34.57313,-58.66955,14.0,11.0,2020.0
81203,9/14/2020 0:00,1.0,-25.515411,-54.58505600000001,14.0,9.0,2020.0
81204,9/28/2019 0:00,4.0,-22.393581,-47.544205,28.0,9.0,2019.0
81207,10/11/2015 0:00,1.0,-20.503044,-55.752483,11.0,10.0,2015.0
81209,1/26/2020 0:00,1.0,-25.130415,-64.1888,26.0,1.0,2020.0
81212,11/23/2019 0:00,1.0,-28.913328000000003,-56.612193999999995,23.0,11.0,2019.0
81214,11/7/2018 0:00,1.0,-22.393581,-47.544205,7.0,11.0,2018.0
81215,9/14/2019 0:00,4.0,-27.11855,-58.644119999999994,14.0,9.0,2019.0
81219,2/22/2018 0:00,1.0,-36.553383000000004,-64.169174,22.0,2.0,2018.0
81220,1/27/2019 0:00,4.0,-34.3107,-56.265274,27.0,1.0,2019.0
81222,10/16/2016 0:00,2.0,-24.772089,-65.518326,16.0,10.0,2016.0
81223,9/12/2020 0:00,2.0,-26.939923999999998,-56.26955400000001,12.0,9.0,2020.0
81225,9/3/2019 0:00,3.0,-15.802589999999999,-47.91251,3.0,9.0,2019.0
81229,10/6/2019 0:00,3.0,-32.009468,-61.3519,6.0,10.0,2019.0
81230,12/22/2019 0:00,1.0,-33.67099,-59.66191,22.0,12.0,2019.0
81231,10/7/2017 0:00,2.0,-25.683304,-54.455452,7.0,10.0,2017.0
81232,8/30/2016 0:00,3.0,-15.444001,-55.824665,30.0,8.0,2016.0
81233,11/21/2014 0:00,1.0,-19.2568,-55.78625,21.0,11.0,2014.0
81234,12/1/2019 0:00,1.0,-28.903361999999998,-56.604813,1.0,12.0,2019.0
81236,10/31/2018 0:00,11.0,-27.11855,-58.644119999999994,31.0,10.0,2018.0
81240,10/19/2019 0:00,4.0,-23.496527,-46.174206,19.0,10.0,2019.0
81241,11/26/2019 0:00,1.0,-34.608204,-58.35397,26.0,11.0,2019.0
81242,11/23/2006 0:00,3.0,-25.683304,-54.455452,23.0,11.0,2006.0
81245,10/25/2018 0:00,8.0,-27.41228,-58.943909999999995,25.0,10.0,2018.0
81246,7/2/2019 0:00,1.0,-0.516931,-76.39578,2.0,7.0,2019.0
81247,11/1/2018 0:00,8.0,-28.540709000000003,-57.09751,1.0,11.0,2018.0
81248,10/9/2019 0:00,1.0,-34.59916,-54.936703,9.0,10.0,2019.0
81249,9/26/2019 0:00,1.0,-21.236162,-48.344134999999994,26.0,9.0,2019.0
81253,12/28/2017 0:00,2.0,-25.442076,-49.24096,28.0,12.0,2017.0
81254,2/9/2016 0:00,7.0,-38.530834000000006,-58.9295,9.0,2.0,2016.0
81255,10/10/2015 0:00,5.0,-22.374482999999998,-47.367509999999996,10.0,10.0,2015.0
81256,11/23/2019 0:00,2.0,-27.260098,-55.538742000000006,23.0,11.0,2019.0
81259,12/28/2018 0:00,2.0,-25.911549,-48.575527,28.0,12.0,2018.0
81263,10/19/2020 0:00,1.0,-16.564848,-49.284492,19.0,10.0,2020.0
81272,12/24/2015 0:00,1.0,-15.419734,-47.55552,24.0,12.0,2015.0
81273,1/18/2020 0:00,2.0,-27.236368,-49.746075,18.0,1.0,2020.0
81274,11/7/2020 0:00,3.0,-23.197687,-47.330887,7.0,11.0,2020.0
81275,1/30/2019 0:00,2.0,-34.745308,-56.544167,30.0,1.0,2019.0
81276,10/12/2019 0:00,6.0,-25.09102,-65.56694,12.0,10.0,2019.0
81278,1/13/2016 0:00,3.0,-26.979988,-58.71621700000001,13.0,1.0,2016.0
81279,10/15/2018 0:00,1.0,-27.670607,-48.492687,15.0,10.0,2018.0
81282,2/11/2019 0:00,1.0,-25.680827999999998,-54.438416000000004,11.0,2.0,2019.0
81283,2/11/2017 0:00,1.0,-34.608204,-58.35397,11.0,2.0,2017.0
81285,10/19/2019 0:00,1.0,-22.428320000000003,-47.63115,19.0,10.0,2019.0
81287,3/5/2017 0:00,1.0,-29.089084999999997,-60.40775,5.0,3.0,2017.0
81290,11/3/2017 0:00,1.0,-25.55017,-54.552166,3.0,11.0,2017.0
81292,12/16/2020 0:00,3.0,-37.12192,-65.76986,16.0,12.0,2020.0
81293,10/12/2014 0:00,2.0,-17.657845000000002,-63.142548,12.0,10.0,2014.0
81294,3/8/2019 0:00,1.0,-30.975620000000003,-64.11084,8.0,3.0,2019.0
81295,12/11/2020 0:00,1.0,-22.949920000000002,-43.03758,11.0,12.0,2020.0
81296,11/1/2020 0:00,3.0,-34.898167,-55.00716800000001,1.0,11.0,2020.0
81299,9/10/2017 0:00,1.0,-2.627208,-60.95408199999999,10.0,9.0,2017.0
81302,10/30/2020 0:00,2.0,-30.945814000000002,-62.712364,30.0,10.0,2020.0
81305,11/30/2016 0:00,1.0,-38.791294,-63.33283,30.0,11.0,2016.0
81306,12/29/2017 0:00,1.0,-28.72008,-59.391144,29.0,12.0,2017.0
81309,11/23/2015 0:00,3.0,-25.426273000000002,-49.308002,23.0,11.0,2015.0
81310,9/10/2016 0:00,1.0,-13.540703,-56.631516000000005,10.0,9.0,2016.0
81311,12/7/2020 0:00,2.0,-21.151022,-47.80579,7.0,12.0,2020.0
81313,2/18/2018 0:00,18.0,-26.986259999999998,-58.71595799999999,18.0,2.0,2018.0
81316,10/28/2019 0:00,8.0,-33.530094,-54.27757,28.0,10.0,2019.0
81318,1/17/2017 0:00,2.0,-27.197731,-65.73255999999999,17.0,1.0,2017.0
81320,11/13/2020 0:00,2.0,-27.492416,-55.7599,13.0,11.0,2020.0
81322,11/14/1998 0:00,1.0,-21.890331,-54.285940000000004,14.0,11.0,1998.0
81325,11/8/2018 0:00,2.0,-38.321983,-60.0382,8.0,11.0,2018.0
81326,1/1/2018 0:00,1.0,-39.04692,-67.588066,1.0,1.0,2018.0
81329,11/3/2018 0:00,1.0,-25.683304,-54.455452,3.0,11.0,2018.0
81330,10/24/2020 0:00,2.0,-32.818335999999995,-68.87096,24.0,10.0,2020.0
81331,2/11/2017 0:00,1.0,-34.608204,-58.35397,11.0,2.0,2017.0
81332,9/5/2017 0:00,2.0,-1.979081,-60.05069,5.0,9.0,2017.0
81334,12/13/2020 0:00,1.0,-36.40137,-56.951115,13.0,12.0,2020.0
81336,10/4/2015 0:00,5.0,-27.490913,-55.738533,4.0,10.0,2015.0
81337,3/10/2005 0:00,1.0,-0.43973500000000004,-76.280334,10.0,3.0,2005.0
81339,10/10/2018 0:00,3.0,-36.629513,-64.3151,10.0,10.0,2018.0
81340,11/4/2016 0:00,1.0,-28.059509999999996,-56.013909999999996,4.0,11.0,2016.0
