,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
1560,1/20/2018 0:00,300.0,-52.464775,-69.39171999999999,20.0,1.0,2018.0
1603,10/22/2020 0:00,1200.0,-51.67027,-69.119156,22.0,10.0,2020.0
1613,9/10/2003 0:00,178.0,-25.266666,-57.616665000000005,10.0,9.0,2003.0
1615,11/17/2019 0:00,3.0,-53.461967,-69.31055500000001,17.0,11.0,2019.0
1617,11/15/2019 0:00,1.0,-51.695724,-57.854957999999996,15.0,11.0,2019.0
1619,3/28/2018 0:00,4.0,-34.84152,-54.67456,28.0,3.0,2018.0
1640,4/16/2017 0:00,5.0,-22.930256,-42.398087,16.0,4.0,2017.0
1642,10/17/2016 0:00,200.0,-36.294113,-56.775604,17.0,10.0,2016.0
1650,1/16/2018 0:00,50.0,-52.550472,-69.308624,16.0,1.0,2018.0
1665,2/3/2015 0:00,4.0,-51.625477000000004,-69.193954,3.0,2.0,2015.0
1692,9/22/2018 0:00,250.0,-30.925714000000003,-62.88454,22.0,9.0,2018.0
1694,11/14/2018 0:00,19.0,-51.680244,-57.783737,14.0,11.0,2018.0
1718,12/8/2013 0:00,1.0,-53.18399399999999,-70.30703000000001,8.0,12.0,2013.0
1724,3/22/1980 0:00,37.0,-34.79167,-55.397156,22.0,3.0,1980.0
1739,11/2/2018 0:00,15.0,-34.608204,-58.35397,2.0,11.0,2018.0
1746,12/30/2019 0:00,65.0,-36.32172,-56.772774,30.0,12.0,2019.0
1755,12/2/2020 0:00,67.0,-33.597393,-59.8109,2.0,12.0,2020.0
1766,11/13/2019 0:00,20.0,-52.40682,-69.57195,13.0,11.0,2019.0
1798,2/20/2020 0:00,1.0,-51.73749,-72.504715,20.0,2.0,2020.0
1799,5/5/2018 0:00,11.0,-32.27,-52.24389,5.0,5.0,2018.0
1809,9/26/2018 0:00,100.0,-51.673195,-69.13748000000001,26.0,9.0,2018.0
1826,3/9/2018 0:00,10.0,-37.462162,-61.933277000000004,9.0,3.0,2018.0
1828,11/10/2020 0:00,1.0,-47.1275,-71.00034000000001,10.0,11.0,2020.0
1855,3/8/2014 0:00,2.0,-38.858692,-60.085772999999996,8.0,3.0,2014.0
1858,1/22/2015 0:00,1.0,-49.31837,-67.71776,22.0,1.0,2015.0
1876,12/23/2019 0:00,15.0,-34.672470000000004,-54.25513,23.0,12.0,2019.0
1881,2/11/1974 0:00,30.0,-37.43815,-57.18532,11.0,2.0,1974.0
1912,9/17/2018 0:00,16.0,-30.935495,-62.89066,17.0,9.0,2018.0
1913,2/11/2020 0:00,20.0,-52.715706000000004,-71.05154399999999,11.0,2.0,2020.0
1914,10/27/2017 0:00,50.0,-31.256308,-50.982895,27.0,10.0,2017.0
1916,10/20/2018 0:00,1.0,-44.79889,-65.70917,20.0,10.0,2018.0
1919,10/2/2017 0:00,1.0,-17.357506,-56.768127,2.0,10.0,2017.0
1921,12/18/2020 0:00,6.0,-34.878296,-54.915516000000004,18.0,12.0,2020.0
1924,10/28/2016 0:00,100.0,-51.673195,-69.13748000000001,28.0,10.0,2016.0
1941,1/14/2001 0:00,1.0,-1.402548,-48.47097,14.0,1.0,2001.0
1944,9/14/2020 0:00,5.0,-34.924479999999996,-56.151787,14.0,9.0,2020.0
1945,1/17/2016 0:00,8.0,-45.126595,-66.53655,17.0,1.0,2016.0
1950,11/1/2004 0:00,100.0,-45.126595,-66.53655,1.0,11.0,2004.0
1989,10/17/2020 0:00,7.0,-34.76115,-55.698080000000004,17.0,10.0,2020.0
2013,11/4/2019 0:00,1.0,-54.871864,-67.95044,4.0,11.0,2019.0
2030,3/16/2015 0:00,1000.0,-51.670035999999996,-69.118546,16.0,3.0,2015.0
2036,9/5/2019 0:00,2.0,-25.276,-57.632668,5.0,9.0,2019.0
2054,11/12/2020 0:00,5.0,-25.410093,-57.58184,12.0,11.0,2020.0
2105,12/20/1984 0:00,12.0,-36.546504999999996,-56.92892,20.0,12.0,1984.0
2129,3/15/2020 0:00,1.0,-37.744385,-57.42699399999999,15.0,3.0,2020.0
2137,9/19/2010 0:00,52.0,-30.944252000000002,-62.730175,19.0,9.0,2010.0
2142,10/14/2018 0:00,6.0,-38.7421,-59.42921,14.0,10.0,2018.0
2162,3/18/2016 0:00,1.0,-32.164936,-52.116417,18.0,3.0,2016.0
2166,4/3/2018 0:00,25.0,-27.065882000000002,-58.718876,3.0,4.0,2018.0
2189,12/27/2018 0:00,3.0,-51.625941999999995,-69.24744,27.0,12.0,2018.0
2219,11/25/2007 0:00,250.0,-53.038837,-71.27037,25.0,11.0,2007.0
2234,9/16/2020 0:00,3.0,-25.277666,-57.63117,16.0,9.0,2020.0
2237,5/7/2004 0:00,2.0,-25.266666,-57.616665000000005,7.0,5.0,2004.0
2262,8/10/2004 0:00,20.0,-51.614605,-69.01199,10.0,8.0,2004.0
2280,3/5/2018 0:00,2000.0,-51.673195,-69.13748000000001,5.0,3.0,2018.0
2426,11/4/2019 0:00,13.0,-51.680244,-57.783737,4.0,11.0,2019.0
2485,9/19/2020 0:00,2.0,-24.312813000000002,-47.000584,19.0,9.0,2020.0
2495,1/2/2016 0:00,3000.0,-53.776,-67.700165,2.0,1.0,2016.0
2510,9/22/1981 0:00,154.0,-37.729424,-57.436028,22.0,9.0,1981.0
2577,9/12/2009 0:00,1100.0,-25.266666,-57.616665000000005,12.0,9.0,2009.0
2603,11/16/2019 0:00,128.0,-36.417786,-56.94655600000001,16.0,11.0,2019.0
2625,4/17/2020 0:00,5.0,-7.919536,-34.859016,17.0,4.0,2020.0
2636,3/5/2019 0:00,12.0,-34.81361,-55.33359,5.0,3.0,2019.0
2651,11/7/2019 0:00,11.0,-51.696754,-57.77845799999999,7.0,11.0,2019.0
2655,11/28/2020 0:00,15.0,-34.878296,-54.915516000000004,28.0,11.0,2020.0
2659,5/28/2020 0:00,2.0,-34.679665,-54.273185999999995,28.0,5.0,2020.0
2666,10/11/2020 0:00,3.0,-34.765823,-56.41599300000001,11.0,10.0,2020.0
2675,4/9/1993 0:00,150.0,-40.76724,-65.03945,9.0,4.0,1993.0
2693,10/10/1986 0:00,5.0,-34.79167,-55.397156,10.0,10.0,1986.0
2698,12/25/2018 0:00,500.0,-50.334340000000005,-72.30020999999999,25.0,12.0,2018.0
2705,2/11/2020 0:00,10.0,-53.287383999999996,-70.94284,11.0,2.0,2020.0
2708,8/31/2016 0:00,2.0,-14.878356,-64.99658000000001,31.0,8.0,2016.0
2709,1/6/2018 0:00,3.0,-34.84152,-54.67456,6.0,1.0,2018.0
2740,2/12/2016 0:00,28.0,-52.735874,-71.06163000000001,12.0,2.0,2016.0
2748,9/5/2015 0:00,8.0,-50.338885999999995,-72.28076999999999,5.0,9.0,2015.0
2777,12/16/2020 0:00,1.0,-53.116234,-70.8813,16.0,12.0,2020.0
2780,11/18/2016 0:00,400.0,-51.625477000000004,-69.193954,18.0,11.0,2016.0
