,species,family,2000SA,2000A,2001SA,2001A,2002SA,2002A,2003SA,2003A,2004SA,2004A,2005SA,2005A,2006SA,2006A,2007SA,2007A,2008SA,2008A,2009SA,2009A,2010SA,2010A,2011SA,2011A,2012SA,2012A,2013SA,2013A,2014SA,2014A,2015SA,2015A,2016SA,2016A,2017SA,2017A,2018SA,2018A,2019SA,2019A
102,Phalaropus tricolor,Scolopacidae,35.0,648.0,0.0,114.0,11.0,1597.0,0.0,868.0,66.0,461.0,220.0,1075.0,6.0,510.0,38.0,2459.0,39.0,776.0,263.0,2624.0,1282.0,6309.0,4.0,701.0,1335.0,3552.0,266.0,2076.0,1058.0,4184.0,2496.0,5735.0,215.0,6696.0,168.0,3708.0,1194.0,9987.0,956.0,18073.0
103,Actitis macularius,Scolopacidae,0.0,52.0,0.0,73.0,0.0,176.0,0.0,173.0,2.0,170.0,0.0,162.0,1.0,132.0,2.0,281.0,1.0,437.0,0.0,313.0,0.0,503.0,0.0,384.0,0.0,469.0,2.0,468.0,4.0,883.0,5.0,860.0,6.0,1301.0,9.0,1649.0,9.0,2956.0,56.0,3258.0
104,Serinus canaria,Fringillidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Calidris pusilla,Scolopacidae,0.0,16.0,0.0,36.0,0.0,251.0,0.0,494.0,0.0,158.0,0.0,1523.0,0.0,17.0,0.0,698.0,0.0,815.0,0.0,1171.0,0.0,2590.0,0.0,287.0,0.0,5643.0,0.0,3155.0,0.0,7515.0,0.0,2446.0,0.0,7489.0,0.0,5904.0,0.0,10618.0,0.0,9284.0
106,Calonectris diomedea,Procellariidae,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,137.0,0.0,4.0,0.0,29.0,0.0,29.0,0.0,7.0
107,Contopus virens,Tyrannidae,0.0,8.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,9.0,0.0,7.0,0.0,18.0,0.0,35.0,0.0,31.0,0.0,28.0,0.0,24.0,0.0,69.0,0.0,15.0,0.0,26.0,0.0,25.0,0.0,39.0,0.0,86.0,0.0,87.0,0.0,174.0,0.0,227.0
108,Mycteria americana,Ciconiidae,0.0,139.0,0.0,263.0,0.0,39.0,42.0,248.0,368.0,633.0,12.0,174.0,34.0,164.0,26.0,358.0,1.0,348.0,16.0,715.0,273.0,2570.0,50.0,588.0,30.0,353.0,73.0,1158.0,747.0,2769.0,1644.0,4842.0,947.0,4201.0,1544.0,10151.0,1639.0,7169.0,1696.0,7078.0
109,Porphyrio martinica,Rallidae,0.0,12.0,1.0,1.0,2.0,24.0,0.0,19.0,3.0,11.0,2.0,20.0,0.0,35.0,6.0,99.0,0.0,40.0,9.0,47.0,7.0,126.0,7.0,141.0,10.0,157.0,10.0,177.0,22.0,282.0,35.0,374.0,71.0,641.0,38.0,912.0,90.0,1241.0,236.0,1521.0
110,Thalasseus maximus,Laridae,0.0,4.0,7.0,16.0,0.0,3.0,0.0,0.0,0.0,35.0,1.0,85.0,120.0,126.0,0.0,1011.0,0.0,763.0,0.0,178.0,0.0,942.0,7.0,67.0,4.0,284.0,84.0,382.0,4.0,533.0,8.0,1142.0,217.0,3885.0,222.0,3361.0,377.0,5203.0,471.0,3983.0
111,Piranga olivacea,Cardinalidae,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,6.0,0.0,4.0,0.0,18.0,0.0,41.0,0.0,17.0,0.0,27.0,0.0,61.0,0.0,40.0,0.0,40.0,0.0,74.0,0.0,47.0,0.0,111.0,0.0,90.0,0.0,240.0,0.0,338.0
112,Callipepla californica,Odontophoridae,0.0,6.0,0.0,117.0,0.0,2.0,0.0,17.0,0.0,45.0,0.0,70.0,0.0,178.0,0.0,166.0,0.0,81.0,0.0,567.0,0.0,904.0,0.0,1061.0,0.0,830.0,0.0,1350.0,0.0,2378.0,0.0,2504.0,0.0,3832.0,0.0,4315.0,0.0,5318.0,0.0,7258.0
113,Tringa semipalmata,Scolopacidae,0.0,71.0,0.0,65.0,0.0,17.0,0.0,387.0,0.0,149.0,0.0,199.0,0.0,96.0,0.0,265.0,0.0,211.0,0.0,830.0,0.0,1547.0,0.0,287.0,0.0,590.0,0.0,1395.0,0.0,2185.0,0.0,772.0,0.0,1232.0,0.0,1662.0,0.0,1081.0,0.0,3358.0
114,Catharus fuscescens,Turdidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0
115,Coccyzus americanus,Cuculidae,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,11.0,0.0,27.0,8.0,16.0,6.0,32.0,6.0,31.0,8.0,44.0
116,Dolichonyx oryzivorus,Icteridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,1.0,3.0,3.0,403.0,403.0,0.0,1.0,0.0,1.0,105.0,106.0,23.0,26.0,0.0,0.0,0.0,5.0,0.0,4.0,353.0,462.0,67.0,564.0,704.0,706.0,607.0,700.0,3485.0,3616.0
117,Nyctanassa violacea,Ardeidae,0.0,101.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,26.0,0.0,4.0,0.0,36.0,0.0,29.0,0.0,17.0,0.0,92.0,0.0,47.0,0.0,221.0,0.0,118.0,0.0,339.0,0.0,502.0,0.0,449.0,0.0,499.0,0.0,1017.0,0.0,2062.0
118,Himantopus mexicanus,Recurvirostridae,82.0,2116.0,10.0,1055.0,254.0,1182.0,292.0,3960.0,2109.0,4511.0,334.0,4221.0,19.0,2793.0,157.0,4831.0,2001.0,9776.0,2155.0,12721.0,4215.0,17974.0,2406.0,14416.0,1161.0,13814.0,568.0,17470.0,850.0,15809.0,4521.0,21993.0,2338.0,25075.0,2154.0,25304.0,11731.0,52065.0,8655.0,58181.0
119,Leucophaeus pipixcan,Laridae,0.0,3.0,0.0,228.0,0.0,42.0,0.0,389.0,0.0,776.0,0.0,2612.0,0.0,1332.0,0.0,1743.0,0.0,5078.0,0.0,9202.0,0.0,14978.0,0.0,6167.0,0.0,12768.0,0.0,12856.0,10.0,21620.0,0.0,19767.0,1.0,29238.0,0.0,41134.0,3.0,54904.0,0.0,52101.0
120,Tyrannus tyrannus,Tyrannidae,0.0,41.0,0.0,46.0,0.0,64.0,0.0,57.0,0.0,2.0,0.0,655.0,1.0,583.0,0.0,840.0,0.0,4466.0,0.0,714.0,0.0,249.0,0.0,314.0,0.0,653.0,0.0,528.0,1.0,552.0,0.0,546.0,0.0,385.0,0.0,946.0,1.0,1797.0,0.0,2391.0
121,Elanoides forficatus,Accipitridae,0.0,30.0,0.0,54.0,0.0,152.0,0.0,152.0,0.0,107.0,0.0,139.0,0.0,128.0,10.0,216.0,0.0,294.0,0.0,254.0,0.0,278.0,0.0,387.0,4.0,446.0,2.0,729.0,15.0,1013.0,3.0,1207.0,7.0,1310.0,13.0,1925.0,14.0,3392.0,25.0,4494.0
122,Haematopus palliatus,Haematopodidae,0.0,32.0,0.0,320.0,0.0,76.0,0.0,338.0,0.0,273.0,0.0,255.0,0.0,312.0,0.0,368.0,0.0,3249.0,10.0,5639.0,0.0,7003.0,59.0,5047.0,13.0,6820.0,12.0,8572.0,9.0,9097.0,2.0,10443.0,156.0,14559.0,79.0,15151.0,240.0,20238.0,226.0,27698.0
123,Fregata magnificens,Fregatidae,0.0,261.0,0.0,185.0,0.0,711.0,0.0,612.0,0.0,112.0,0.0,756.0,0.0,360.0,0.0,786.0,0.0,1832.0,0.0,931.0,2.0,1450.0,0.0,2387.0,0.0,2870.0,1.0,3391.0,0.0,3100.0,2.0,4825.0,1.0,5327.0,1.0,15732.0,1.0,12954.0,13.0,21017.0
124,Caracara plancus,Falconidae,21.0,113.0,46.0,410.0,53.0,201.0,31.0,193.0,120.0,391.0,32.0,258.0,95.0,320.0,77.0,571.0,224.0,624.0,404.0,898.0,246.0,1367.0,123.0,752.0,282.0,1177.0,533.0,2467.0,824.0,3635.0,2083.0,7476.0,3481.0,9407.0,4401.0,13517.0,7879.0,21675.0,10060.0,26272.0
125,Streptoprocne zonaris,Apodidae,0.0,413.0,8.0,1631.0,40.0,1074.0,65.0,1161.0,0.0,348.0,30.0,1045.0,0.0,2461.0,0.0,2424.0,112.0,2325.0,0.0,2368.0,0.0,4015.0,0.0,2087.0,0.0,4392.0,14.0,5457.0,108.0,7060.0,27.0,10794.0,139.0,11310.0,160.0,16833.0,383.0,21929.0,458.0,29315.0
126,Molothrus bonariensis,Icteridae,17.0,117.0,78.0,540.0,335.0,384.0,95.0,303.0,94.0,393.0,48.0,317.0,366.0,553.0,157.0,544.0,727.0,1644.0,1122.0,2301.0,460.0,2244.0,159.0,1607.0,730.0,2879.0,1043.0,4319.0,1984.0,7062.0,6413.0,12282.0,7873.0,15961.0,9445.0,28167.0,20434.0,46759.0,34080.0,63541.0
127,Rynchops niger,Laridae,72.0,209.0,67.0,1227.0,40.0,186.0,222.0,402.0,182.0,451.0,136.0,964.0,59.0,2391.0,12.0,813.0,26.0,3089.0,32.0,2590.0,235.0,7790.0,53.0,3398.0,55.0,7544.0,123.0,13346.0,52.0,14297.0,764.0,17674.0,651.0,23298.0,539.0,34586.0,1778.0,41298.0,1009.0,45269.0
128,Euplectes orix,Ploceidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Larus dominicanus,Laridae,1.0,452.0,1.0,2152.0,10.0,467.0,8.0,4204.0,4.0,1916.0,42.0,2874.0,5.0,5378.0,749.0,4072.0,276.0,14330.0,480.0,19666.0,462.0,40504.0,135.0,29891.0,367.0,34562.0,600.0,41460.0,878.0,72085.0,1157.0,82233.0,2504.0,129511.0,3429.0,160510.0,4011.0,184888.0,6845.0,224931.0
130,Chordeiles acutipennis,Caprimulgidae,0.0,1.0,0.0,2.0,0.0,2.0,0.0,20.0,0.0,4.0,0.0,30.0,0.0,26.0,0.0,21.0,0.0,33.0,0.0,19.0,0.0,40.0,0.0,71.0,0.0,68.0,0.0,105.0,0.0,54.0,0.0,42.0,0.0,60.0,0.0,258.0,0.0,308.0,0.0,379.0
131,Athene cunicularia,Strigidae,0.0,22.0,4.0,63.0,14.0,86.0,10.0,68.0,9.0,56.0,13.0,89.0,12.0,78.0,32.0,116.0,12.0,187.0,33.0,249.0,51.0,425.0,32.0,315.0,65.0,337.0,77.0,509.0,178.0,876.0,637.0,2062.0,764.0,2477.0,1055.0,3550.0,1407.0,4609.0,1645.0,6017.0
132,Estrilda astrild,Estrildidae,1.0,32.0,0.0,13.0,0.0,9.0,0.0,4.0,0.0,5.0,0.0,50.0,0.0,8.0,0.0,53.0,0.0,26.0,0.0,83.0,0.0,33.0,0.0,82.0,0.0,97.0,0.0,195.0,0.0,183.0,0.0,1508.0,3.0,1616.0,0.0,2262.0,0.0,3142.0,0.0,4066.0
133,Buteo swainsoni,Accipitridae,0.0,0.0,6.0,21.0,18.0,18.0,1.0,3.0,100.0,102.0,4.0,13.0,55.0,55.0,2.0,86.0,1.0,201.0,0.0,1.0,0.0,6.0,0.0,3.0,32.0,32.0,0.0,414.0,480.0,501.0,77.0,112.0,488.0,949.0,513.0,997.0,504.0,2139.0,1907.0,2732.0
134,Acridotheres cristatellus,Sturnidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,56.0,20.0,159.0,11.0,149.0,37.0,211.0,16.0,141.0
135,Plegadis chihi,Threskiornithidae,20.0,26.0,0.0,29.0,362.0,423.0,959.0,1261.0,277.0,504.0,156.0,322.0,360.0,691.0,977.0,1414.0,3976.0,5808.0,449.0,2209.0,1662.0,4784.0,999.0,2233.0,667.0,1066.0,724.0,2897.0,2645.0,7324.0,9158.0,13536.0,5579.0,14382.0,9424.0,18861.0,37302.0,60286.0,39129.0,65110.0
136,Tringa incana,Scolopacidae,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,11.0,0.0,11.0,0.0,3.0,0.0,10.0,0.0,9.0,0.0,18.0,0.0,12.0,0.0,14.0,0.0,26.0,0.0,20.0,0.0,37.0,0.0,42.0,0.0,56.0
137,Stercorarius maccormicki,Stercorariidae,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.0,0.0,4.0,0.0,5.0
138,Dendrocygna bicolor,Anatidae,3.0,13.0,15.0,16.0,4.0,4.0,54.0,93.0,414.0,429.0,15.0,20.0,20.0,31.0,37.0,265.0,0.0,20.0,16.0,1089.0,36.0,55.0,46.0,99.0,26.0,41.0,9.0,278.0,143.0,600.0,1314.0,2745.0,1216.0,2559.0,838.0,3013.0,4098.0,9653.0,7440.0,11697.0
139,Buteo albonotatus,Accipitridae,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,6.0,0.0,10.0,0.0,11.0,0.0,11.0,0.0,19.0,2.0,40.0,0.0,54.0,0.0,78.0,2.0,97.0,0.0,118.0
140,Agapornis roseicollis,Psittacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Callonetta leucophrys,Anatidae,1.0,1.0,4.0,48.0,20.0,20.0,11.0,13.0,45.0,56.0,10.0,28.0,14.0,15.0,40.0,49.0,6.0,557.0,10.0,51.0,59.0,334.0,21.0,27.0,13.0,311.0,54.0,73.0,133.0,216.0,681.0,1330.0,598.0,1139.0,905.0,1933.0,2009.0,3564.0,3099.0,3766.0
142,Pyrrhura molinae,Psittacidae,6.0,16.0,0.0,194.0,0.0,29.0,0.0,111.0,0.0,10.0,0.0,11.0,0.0,42.0,0.0,207.0,0.0,94.0,0.0,65.0,0.0,154.0,0.0,66.0,0.0,212.0,0.0,147.0,94.0,334.0,53.0,263.0,68.0,329.0,13.0,531.0,2.0,1331.0,26.0,1351.0
143,Numenius borealis,Scolopacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
