,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
112279,2019-01-25T00:00:00,8.0,-34.6503,-54.3034,25,1,2019
112289,2019-10-04T00:00:00,3.0,-24.1176,-46.765,4,10,2019
112317,2019-12-17T00:00:00,53.0,-37.0016,-56.901,17,12,2019
112318,2010-01-20T00:00:00,1.0,-30.9257,-62.8845,20,1,2010
112374,2016-01-25T00:00:00,10.0,-38.0833,-58.75,25,1,2016
112414,2011-02-05T00:00:00,,-33.3819,-58.7547,5,2,2011
112416,2010-02-14T00:00:00,12.0,-7.072189999999999,-79.7115,14,2,2010
112479,2012-10-21T00:00:00,1.0,-1.7358,-78.7558,21,10,2012
112494,2019-02-06T00:00:00,9.0,-22.5428,-66.7461,6,2,2019
112501,2019-11-11T00:00:00,10.0,-24.3117,-46.9811,11,11,2019
112506,2019-11-20T00:00:00,6.0,-31.2563,-50.9829,20,11,2019
112520,2017-03-05T00:00:00,1.0,-18.4166,-70.3252,5,3,2017
112563,2019-11-02T00:00:00,3.0,-36.4693,-57.1303,2,11,2019
112569,2014-09-14T00:00:00,2.0,-13.741,-66.0891,14,9,2014
112581,2015-11-28T00:00:00,75.0,-36.4265,-56.8763,28,11,2015
112646,2019-09-23T00:00:00,17.0,-25.276,-57.6327,23,9,2019
112722,2016-11-03T00:00:00,2.0,-18.4165,-70.3224,3,11,2016
112753,2018-09-18T00:00:00,3.0,-25.3633,-57.3005,18,9,2018
112776,2013-10-22T00:00:00,1.0,-12.2762,-70.808,22,10,2013
112789,2019-01-03T00:00:00,46.0,-34.8176,-55.3264,3,1,2019
112829,2010-01-26T00:00:00,75.0,-36.35,-56.8667,26,1,2010
112839,2010-09-25T00:00:00,,-35.968,-57.4791,25,9,2010
112854,2017-01-01T00:00:00,5.0,-31.4167,-65.1833,1,1,2017
112858,2018-12-03T00:00:00,4.0,-36.2941,-56.7756,3,12,2018
112920,2019-03-23T00:00:00,17.0,-19.2754,-68.655,23,3,2019
112944,2018-02-03T00:00:00,6.0,-34.7658,-56.416000000000004,3,2,2018
112955,2016-12-18T00:00:00,2.0,-30.9066,-51.4921,18,12,2016
112963,2012-02-26T00:00:00,,-11.0167,-76.0913,26,2,2012
112972,2018-09-24T00:00:00,8.0,-20.0858,-56.6154,24,9,2018
112985,2019-11-02T00:00:00,3.0,-34.9142,-54.9089,2,11,2019
112996,2019-01-12T00:00:00,2.0,-33.3734,-58.783,12,1,2019
113005,2017-11-01T00:00:00,1.0,-23.6527,-45.4272,1,11,2017
113051,2017-02-07T00:00:00,,-22.7282,-65.7247,7,2,2017
113111,2014-09-10T00:00:00,3.0,-13.7408,-66.0831,10,9,2014
113195,2016-11-03T00:00:00,2.0,-18.4165,-70.3224,3,11,2016
113205,2019-02-07T00:00:00,1.0,-26.1128,-67.4203,7,2,2019
113217,2017-02-07T00:00:00,2.0,-33.6198,-71.6275,7,2,2017
113284,2018-10-14T00:00:00,10.0,-36.2941,-56.7756,14,10,2018
113294,2019-02-16T00:00:00,16.0,-34.8355,-55.3114,16,2,2019
113327,2019-03-03T00:00:00,1.0,-31.3157,-51.0962,3,3,2019
113328,2018-05-08T00:00:00,2.0,-18.4165,-70.3224,8,5,2018
113335,2016-12-25T00:00:00,16.0,-18.4165,-70.3224,25,12,2016
113366,2019-12-13T00:00:00,1.0,-23.098000000000003,-70.4481,13,12,2019
113377,2017-01-21T00:00:00,50.0,-31.2563,-50.9829,21,1,2017
113415,2015-09-20T00:00:00,4.0,-22.976999999999997,-43.7045,20,9,2015
113418,2014-01-13T00:00:00,20.0,-34.6183,-54.2921,13,1,2014
113430,2010-03-01T00:00:00,10.0,-35.916,-57.4178,1,3,2010
113469,2016-11-01T00:00:00,35.0,-36.3217,-56.7728,1,11,2016
113547,2011-11-04T00:00:00,1.0,-14.9606,-68.2951,4,11,2011
113555,2017-12-16T00:00:00,12.0,-36.2941,-56.7756,16,12,2017
113578,2016-10-23T00:00:00,7.0,-22.9409,-45.593,23,10,2016
113588,2019-11-22T00:00:00,700.0,-32.9235,-53.4932,22,11,2019
113589,2016-10-24T00:00:00,1.0,-18.4165,-70.3224,24,10,2016
113614,2014-02-09T00:00:00,6.0,-34.9909,-72.1826,9,2,2014
113628,2012-12-17T00:00:00,500.0,-29.976999999999997,-50.1205,17,12,2012
113644,2016-02-09T00:00:00,20.0,-31.0742,-62.6697,9,2,2016
113653,2017-01-28T00:00:00,12.0,-35.3246,-57.2016,28,1,2017
113731,2014-11-22T00:00:00,,-36.35,-56.8667,22,11,2014
113732,2011-01-09T00:00:00,1.0,-35.4181,-58.0518,9,1,2011
113736,2017-10-08T00:00:00,1.0,-23.7196,-46.7166,8,10,2017
113788,2013-03-10T00:00:00,1.0,-32.4101,-71.4108,10,3,2013
113795,2018-09-21T00:00:00,1.0,-3.54797,-38.8183,21,9,2018
113805,2019-10-19T00:00:00,1.0,-25.276,-57.6327,19,10,2019
113888,2019-11-25T00:00:00,1.0,-22.9256,-42.3739,25,11,2019
113909,2016-11-13T00:00:00,,-18.4165,-70.3224,13,11,2016
113911,2017-12-07T00:00:00,22.0,-32.1889,-52.1562,7,12,2017
113931,2018-11-14T00:00:00,1.0,-18.4165,-70.3224,14,11,2018
113934,2015-01-31T00:00:00,1.0,-34.4401,-57.1964,31,1,2015
113960,2018-04-12T00:00:00,9.0,-27.2541,-48.6165,12,4,2018
114009,2018-10-06T00:00:00,27.0,-31.9227,-52.1992,6,10,2018
114010,2019-12-28T00:00:00,8.0,-35.532,-57.323,28,12,2019
114018,2014-02-02T00:00:00,11.0,-36.2941,-56.7756,2,2,2014
114035,2010-11-23T00:00:00,202.0,-34.8289,-54.6982,23,11,2010
114040,2015-11-12T00:00:00,1.0,-18.4165,-70.3224,12,11,2015
114073,2019-03-31T00:00:00,,-22.4075,-66.0055,31,3,2019
114078,2018-10-06T00:00:00,2.0,-34.8125,-55.3363,6,10,2018
114083,2019-11-03T00:00:00,1.0,-34.8079,-54.5859,3,11,2019
114109,2018-02-18T00:00:00,5.0,-6.75778,-79.9692,18,2,2018
114118,2019-03-30T00:00:00,,-22.4075,-66.0055,30,3,2019
114121,2019-12-06T00:00:00,1.0,-34.6652,-54.2869,6,12,2019
114132,2017-01-11T00:00:00,6.0,-36.4014,-56.9511,11,1,2017
114135,2016-12-10T00:00:00,1.0,-34.0827,18.5132,10,12,2016
114144,2019-10-31T00:00:00,1.0,-34.9076,-54.8765,31,10,2019
114147,2018-09-15T00:00:00,27.0,-24.3187,-57.0211,15,9,2018
114166,2019-10-19T00:00:00,21.0,-36.4795,-56.9847,19,10,2019
114182,2019-10-31T00:00:00,20.0,-34.6364,-54.1908,31,10,2019
114214,2017-12-07T00:00:00,22.0,-32.1889,-52.1562,7,12,2017
114215,2015-06-09T00:00:00,2.0,-2.24606,-80.9417,9,6,2015
114257,2019-12-22T00:00:00,5.0,-33.1333,-61.9152,22,12,2019
114282,2018-10-14T00:00:00,1.0,-34.6643,-54.1732,14,10,2018
114337,2012-09-16T00:00:00,,-36.2941,-56.7756,16,9,2012
114338,2013-07-10T00:00:00,18.0,-12.1773,-75.6365,10,7,2013
114356,2013-03-06T00:00:00,12.0,-33.9063,-53.7147,6,3,2013
114366,2011-12-27T00:00:00,2.0,-29.1637,-61.0011,27,12,2011
114382,2017-10-28T00:00:00,30.0,-36.4795,-56.9847,28,10,2017
114423,2017-10-30T00:00:00,3.0,-0.10984200000000001,-78.365,30,10,2017
114511,2016-03-19T00:00:00,,-36.2941,-56.7756,19,3,2016
114516,2016-10-29T00:00:00,5.0,-25.276,-57.6327,29,10,2016
114582,2019-09-13T00:00:00,1.0,-12.4775,-68.8643,13,9,2019
114596,2018-04-03T00:00:00,1.0,-27.0659,-58.7189,3,4,2018
114631,2018-11-02T00:00:00,25.0,-36.2941,-56.7756,2,11,2018
114635,2014-01-05T00:00:00,5.0,-35.835,-58.5858,5,1,2014
114647,2015-11-07T00:00:00,1.0,-18.4166,-70.3252,7,11,2015
114675,2019-11-05T00:00:00,4.0,-24.3128,-47.0006,5,11,2019
114679,2019-12-28T00:00:00,8.0,-35.532,-57.323,28,12,2019
114768,2019-04-05T00:00:00,2.0,-18.4135,-70.3236,5,4,2019
114779,2019-10-20T00:00:00,1.0,-34.6183,-54.2921,20,10,2019
114802,2014-01-20T00:00:00,,-36.2949,-56.7743,20,1,2014
114829,2017-11-20T00:00:00,5.0,-26.8637,-63.0813,20,11,2017
114834,2010-02-07T00:00:00,4.0,-52.4093,-69.6029,7,2,2010
114861,2018-02-24T00:00:00,2.0,-36.2941,-56.7756,24,2,2018
114865,2019-08-31T00:00:00,1.0,-8.344430000000001,-74.5708,31,8,2019
114945,2015-10-29T00:00:00,5.0,-23.6672,-45.4308,29,10,2015
114946,2019-09-29T00:00:00,5.0,-13.6936,-66.0584,29,9,2019
114959,2019-01-17T00:00:00,1.0,-21.4292,-70.0585,17,1,2019
114972,2014-03-03T00:00:00,4.0,-40.7595,-64.9876,3,3,2014
115016,2019-03-24T00:00:00,1.0,-36.2941,-56.7756,24,3,2019
115027,2017-10-28T00:00:00,1.0,-25.2712,-57.6298,28,10,2017
115048,2018-10-06T00:00:00,2.0,-34.8783,-54.9155,6,10,2018
115056,2019-03-23T00:00:00,6.0,-19.2754,-68.655,23,3,2019
115062,2019-09-04T00:00:00,2.0,-25.4101,-57.5818,4,9,2019
115089,2019-02-02T00:00:00,5.0,-22.4115,-66.0188,2,2,2019
115122,2016-03-18T00:00:00,1.0,-11.2099,-75.9905,18,3,2016
115153,2017-04-02T00:00:00,1.0,-2.18954,-81.0111,2,4,2017
115187,2015-12-06T00:00:00,1.0,-21.4292,-70.0585,6,12,2015
115213,2014-05-29T00:00:00,,-12.2141,-76.9893,29,5,2014
115225,2019-12-06T00:00:00,14.0,-34.6626,-54.2937,6,12,2019
115244,2012-12-11T00:00:00,2.0,-53.1879,-70.3413,11,12,2012
115282,2011-12-20T00:00:00,,-13.8344,-76.2518,20,12,2011
115295,2019-11-08T00:00:00,2.0,-18.5753,-70.0236,8,11,2019
115402,2010-11-09T00:00:00,2.0,-18.4165,-70.3224,9,11,2010
115426,2018-12-08T00:00:00,3.0,-30.0243,-60.1151,8,12,2018
115430,2014-01-07T00:00:00,185.0,-31.2203,-50.9555,7,1,2014
115451,2013-11-17T00:00:00,3.0,-25.2667,-57.6167,17,11,2013
115467,2016-12-01T00:00:00,25.0,-31.1579,-50.8128,1,12,2016
115475,2018-07-07T00:00:00,2.0,-13.7027,-76.2198,7,7,2018
115568,2016-11-24T00:00:00,20.0,-34.8226,-54.8104,24,11,2016
115577,2019-01-26T00:00:00,3.0,-34.2826,-53.9028,26,1,2019
115580,2017-10-27T00:00:00,4.0,-31.3188,-51.0895,27,10,2017
115586,2018-02-20T00:00:00,8.0,-38.0175,-60.6337,20,2,2018
115609,2017-11-11T00:00:00,1.0,-12.285,-76.8871,11,11,2017
115616,2016-11-28T00:00:00,12.0,-30.6369,-59.9583,28,11,2016
115617,2017-09-21T00:00:00,2.0,-3.3759300000000003,-58.7515,21,9,2017
115622,2016-10-24T00:00:00,1.0,-18.4165,-70.3224,24,10,2016
115648,2018-11-01T00:00:00,40.0,-33.4411,-58.8191,1,11,2018
115674,2010-11-04T00:00:00,78.0,-35.6248,-57.9936,4,11,2010
115678,2014-11-11T00:00:00,25.0,-36.3144,-56.7549,11,11,2014
115693,2016-11-04T00:00:00,100.0,-31.1138,-50.8566,4,11,2016
115695,2019-03-23T00:00:00,6.0,-19.2754,-68.655,23,3,2019
115719,2014-12-12T00:00:00,,-36.3217,-56.7728,12,12,2014
115732,2019-02-10T00:00:00,8.0,-34.8236,-55.3187,10,2,2019
115752,2019-01-25T00:00:00,7.0,-32.3458,-52.298,25,1,2019
115754,2015-09-11T00:00:00,4.0,-17.1337,-71.8795,11,9,2015
115755,2019-10-20T00:00:00,2.0,-34.6643,-54.1732,20,10,2019
115786,2018-09-09T00:00:00,3.0,-26.2199,-58.1778,9,9,2018
115841,2017-01-08T00:00:00,,-36.8599,-57.8812,8,1,2017
115866,2014-02-25T00:00:00,2.0,-17.8808,-71.0048,25,2,2014
115917,2017-11-18T00:00:00,5.0,-33.0621,-58.6208,18,11,2017
115942,2019-01-27T00:00:00,1.0,-38.8945,-60.318999999999996,27,1,2019
115958,2018-01-16T00:00:00,6.0,-34.7658,-56.416000000000004,16,1,2018
115981,2016-09-22T00:00:00,25.0,-34.8136,-55.3336,22,9,2016
116006,2015-03-22T00:00:00,1.0,-31.3188,-51.0895,22,3,2015
116067,2019-03-23T00:00:00,17.0,-6.911560000000001,-79.8897,23,3,2019
116101,2014-02-17T00:00:00,47.0,-18.4008,-70.3336,17,2,2014
116120,2016-01-22T00:00:00,5.0,-34.8257,-55.3179,22,1,2016
116125,2014-01-26T00:00:00,,-36.8599,-57.8812,26,1,2014
116127,2019-06-09T00:00:00,2.0,-18.4165,-70.3224,9,6,2019
116129,2011-03-11T00:00:00,18.0,-22.3358,-68.0126,11,3,2011
116166,2018-11-21T00:00:00,2.0,-28.5198,-57.1096,21,11,2018
116167,2018-05-28T00:00:00,,-33.6198,-71.6275,28,5,2018
116196,2016-11-03T00:00:00,2.0,-18.4165,-70.3224,3,11,2016
116209,2019-10-20T00:00:00,2.0,-34.6643,-54.1732,20,10,2019
116216,2014-12-22T00:00:00,,-34.8415,-54.6746,22,12,2014
116309,2015-11-13T00:00:00,1.0,-31.1138,-50.8566,13,11,2015
116312,2019-12-28T00:00:00,8.0,-35.532,-57.323,28,12,2019
116339,2019-11-16T00:00:00,1.0,-18.4165,-70.3224,16,11,2019
116355,2018-11-15T00:00:00,1.0,-0.10984200000000001,-78.365,15,11,2018
116360,2014-03-23T00:00:00,5.0,-30.8616,-62.5808,23,3,2014
116368,2018-09-10T00:00:00,4.0,-3.7478599999999997,-73.2713,10,9,2018
116430,2018-01-09T00:00:00,1.0,-36.4702,-57.1312,9,1,2018
116433,2013-11-06T00:00:00,1.0,-17.0759,-66.5001,6,11,2013
116437,2010-03-01T00:00:00,234.0,-22.4075,-66.0055,1,3,2010
116459,2019-01-24T00:00:00,4.0,-34.6577,-54.2945,24,1,2019
116541,2016-10-30T00:00:00,3.0,-34.6808,-54.2956,30,10,2016
116555,2016-09-17T00:00:00,1.0,-4.6814,-81.3212,17,9,2016
116579,2016-09-06T00:00:00,1.0,-6.89146,-79.915,6,9,2016
116613,2018-03-22T00:00:00,1.0,-39.588,-62.102,22,3,2018
116628,2019-03-30T00:00:00,1.0,-18.4165,-70.3224,30,3,2019
116636,2017-09-09T00:00:00,2.0,-12.2243,-76.9879,9,9,2017
116669,2018-01-13T00:00:00,3.0,-9.44041,-35.5159,13,1,2018
116671,2012-11-25T00:00:00,,-34.6808,-54.2956,25,11,2012
116676,2019-10-08T00:00:00,30.0,-24.3311,-47.0031,8,10,2019
