,Galaxy ID,SDSS ID,RA,DEC,Black Hole Mass,Stellar Velocity Dispersion,Stellar Mass,SFR,Ref,Unnamed: 9,#VALUE!,Unnamed: 11,Unnamed: 12
41,G62,J112751.96+675042.8,171.9665,67.845215,8.356355202,212.139744120623,10.59591132,0.719595553,5.0,,0.067912568,,
42,G64,J131657.67+641810.4,199.2403,64.30289,8.489752849,181.438656878953,10.87942883,1.917177684,5.0,,0.176220435,,
43,G66,J124746.53+454912.7,191.94386,45.82019,8.44428423,159.671947543843,10.76152613,0.500405082,5.0,,0.046499453,,
44,G67,J103431.60+155518.7,158.63165,15.921855,8.464350165,271.582334814001,10.90160297,0.703095137,5.0,,0.064494656,,
45,G69,J095626.82+235750.9,149.11172,23.96415,8.085800436,224.915331579787,10.13721544,0.850552949,5.0,,0.083904002,,
46,G70,J081116.70+320935.5,122.8196,32.15985,8.144313174,128.976002959128,10.54035458,1.206151793,5.0,,0.114431804,,
47,G71,J110356.88+470614.7,165.987,47.10408,8.316153673,176.982923931604,10.87325197,0.74130229,5.0,,0.068176686,,
48,G74,J132213.39+214721.1,200.55579,21.789202,8.409795668,136.293424702993,10.3810932,0.388752605,5.0,,0.037448137,,
49,G75,J102044.43+013048.5,155.18513,1.5134709,7.930146487,102.296468601381,10.50371402,0.735306091,5.0,,0.07000439,,
50,G76,J103844.05+390804.0,159.68353,39.13444,8.172833279,171.570621583512,10.84123262,0.860845755,5.0,,0.079404786,,
51,G77,J133150.66+603447.9,202.9611,60.57997,8.343286043,168.006255478325,11.26711809,-0.24736383,5.0,,-0.02195449,,
52,G78,J123020.67+462745.7,187.58614,46.46269,8.103579857,196.170456398132,10.77501959,1.089841408,5.0,,0.10114519,,
53,G82,J122208.10+461250.1,185.53375,46.213924,8.390536707,179.494891304977,10.66652146,0.622110026,5.0,,0.058323609,,
54,G83,J153354.68+235614.7,233.47783,23.937426,8.367275698,78.821474087479,10.94104404,0.818088818,5.0,,0.074772464,,
55,G84,J111431.84+405613.8,168.63268,40.93717,8.37609648,213.033822417692,10.76010704,-0.077799992,5.0,,-0.007230411,,
56,G85,J113551.61+644754.5,173.96504,64.79846,7.642342021,149.142049549605,10.80520476,0.09404141,5.0,,0.008703344,,
57,G86,J134629.53+105226.7,206.62306,10.874073,8.224470298,300.78816291065,10.82119239,1.783559892,5.0,,0.164821013,,
58,G87,J114638.53+551441.4,176.66054,55.244835,8.015168479,171.506869231811,10.71997929,0.02608462,5.0,,0.002433271,,
59,G88,J124652.43+352858.0,191.71844,35.48278,8.435616405,124.197573900785,10.74995498,1.296178127,5.0,,0.120575215,,
60,G90,J144145.27+050939.7,220.43861,5.161014,7.658551872,162.503553750064,10.86692053,0.677939196,5.0,,0.062385585,,
61,G91,J150803.17+485728.1,227.01321,48.957817,7.98195395,154.271467371415,10.5518168,1.071011184,5.0,,0.101500169,,
62,G94,J155343.59+234825.4,238.43164,23.807056,8.412714696,272.844700957887,11.29876212,0.767033053,5.0,,0.067886468,,
63,G95,J081604.41+381517.6,124.01837,38.254898,8.180083197,86.4150703687436,10.85479,0.328130872,5.0,,0.030229131,,
64,G96,J100301.57+383357.6,150.75655,38.566,8.127501154,131.564868388918,10.71397157,0.783121936,5.0,,0.073093524,,
65,G97,J140627.28+612850.0,211.61368,61.48055,8.377263334,235.831740206887,10.85932528,1.348694745,5.0,,0.124196919,,
66,G101,J083005.71+593248.1,127.5238,59.5467,8.396681898,164.201962876891,10.47839773,1.770503929,5.0,,0.168967048,,
67,G103,J110414.05+214344.7,166.05855,21.729088,8.120404157,121.838007500069,10.65819959,-0.3761167,5.0,,-0.035288953,,
68,G105,J120755.83+060402.8,181.98264,6.0674477,8.510000074,212.79831272853,10.8195821,0.996505556,5.0,,0.092102038,,
69,G106,J152023.50+502947.8,230.0979,50.49662,8.042923996,136.711937645712,10.05279592,0.727426914,5.0,,0.072360657,,
70,G107,J094741.34+360459.3,146.92226,36.083145,8.333845477,207.60328559706,11.32337762,0.814119727,5.0,,0.071897251,,
71,G109,J113534.10+145141.7,173.8921,14.861588,8.183568274,151.963588410059,10.89147178,-1.925388996,5.0,,-0.176779505,,
72,G110,J135852.47+295413.2,209.71864,29.903667,8.433141931,215.445014179641,10.6219183,-0.60649734,5.0,,-0.057098664,,
73,G111,J120836.75+223934.4,182.15312,22.659555,8.119712866,115.849859032822,10.79066224,0.640591276,5.0,,0.059365335,,
74,G112,J161601.80+323229.5,244.00748,32.541534,7.84047111,186.14604548667,10.4637496,0.464107995,5.0,,0.04435389,,
75,G114,J121607.36-021417.8,184.03065,-2.2382793,7.997980796,196.217572845033,10.75118019,0.597638766,5.0,,0.055588201,,
76,G115,J152900.72+442612.1,232.253,44.436687,7.937577795,147.816675323143,10.67952831,1.224102143,5.0,,0.114621368,,
77,G117,J095309.03+475113.1,148.28761,47.853626,8.258980842,197.06159191625,10.59485666,0.997271084,5.0,,0.09412785,,
78,G119,J083132.25+364617.3,127.88438,36.77146,8.283582609,195.020422221153,10.7501053,0.919101354,5.0,,0.085496963,,
79,G120,J141027.71+490258.0,212.61543,49.04944,8.288513218,200.2550038671,10.49365879,1.249430541,5.0,,0.119065291,,
80,G122,J125005.37+041559.7,192.52235,4.266576,7.893587261,176.403837299593,10.26345658,0.454918303,5.0,,0.044324083,,
81,G123,J141744.77+074748.7,214.43655,7.796857,7.630169326,156.720964307926,10.62669458,0.724008319,5.0,,0.068131093,,
82,G125,J110738.28+092855.5,166.90948,9.482083,8.244891881,168.103190764561,10.36236847,0.897192775,5.0,,0.086581825,,
83,G126,J104410.36+384303.3,161.04318,38.717594,8.236850568,176.642158958947,10.94032211,0.759170685,5.0,,0.069391987,,
84,G129,J083424.28+155510.2,128.60117,15.919493,8.03622041,341.977409205384,10.21777092,1.196565254,5.0,,0.117106291,,
85,G131,J144302.76+520137.2,220.7615,52.027004,8.196144287,252.771469414897,11.09376254,0.564948077,5.0,,0.05092484,,
86,G132,J124430.94+212600.2,191.1289,21.43338,8.165333731,163.248282632557,10.40810985,0.565944663,5.0,,0.054375354,,
87,G134,J121822.72+385043.4,184.59468,38.845398,7.969339578,167.73767730032,10.68135638,1.222266687,5.0,,0.114429914,,
88,G136,J114926.48+112629.0,177.36032,11.441391,8.104652613,125.681798973951,10.96497259,0.880363812,5.0,,0.080288738,,
89,G137,J081542.53+063523.0,123.92722,6.5897207,8.114863752,205.409125470518,10.87462103,0.768016328,5.0,,0.070624652,,
90,G138,J100642.59+412201.9,151.67747,41.36719,8.030736142,195.73410183475,10.62869225,1.467705362,5.0,,0.138088988,,
91,G139,J160337.04+070838.9,240.90434,7.1441393,8.079342482,119.578471152432,10.8966643,0.876626311,5.0,,0.080449052,,
92,G140,J133927.83+662900.9,204.86595,66.483574,8.117067582,174.20977967668,10.44780363,0.688010229,5.0,,0.06585214,,
93,G141,J085903.96+020504.0,134.76651,2.0844505,8.16711886,71.57360255270089,10.96488107,1.117432494,5.0,,0.101910133,,
94,G142,J110325.63+424047.3,165.85681,42.679794,8.262318373,189.453502802051,10.74454262,0.810803737,5.0,,0.075461913,,
