,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
37,1379357200,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS333563750,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PY,Asunción--Bahía de Asunción,Asunción,PRESENT,80.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-25.2667,-57.6167,,,,,,,2013-10-02T00:00:00,2,10,2013,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS333563750,,,,CC0_1_0,,obsr520076,,,2021-03-09T12:58:26.845Z,,
47,975150677,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS221804450,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,"Campo Mare y lagunas anexas, Córdoba, ARG.",Córdoba,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-30.8069,-62.8778,,,,,,,2013-02-16T00:00:00,16,2,2013,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS221804450,,,,CC0_1_0,,obsr429240,,,2021-03-09T12:51:03.098Z,,
63,1791850241,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS526737582,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Puerto Saavedra,Araucanía,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-38.7925,-73.3959,,,,,,,2014-07-20T00:00:00,20,7,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS526737582,,,,CC0_1_0,,obsr398482,,,2021-03-09T12:52:56.027Z,,
74,1711732658,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS368199404,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Boca del Salado,Buenos Aires,PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-35.7792,-57.3939,,,,,,,2016-01-23T00:00:00,23,1,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS368199404,,,,CC0_1_0,,obsr217001,,,2021-03-09T12:51:45.022Z,,
113,2794278166,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS877547580,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BO,Barba Azul Nature Reserve BA_E3,El Beni,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-13.7433,-66.078,,,,,,,2014-09-21T00:00:00,21,9,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS877547580,,,,CC0_1_0,,obsr131308,,,2021-03-09T13:04:06.164Z,,
140,230446944,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS61916933,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Desembocadura Rio Elqui,Coquimbo,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-29.8934,-71.2731,,,,,,,2008-12-06T00:00:00,6,12,2008,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS61916933,,,,CC0_1_0,,obsr150709,,,2021-03-09T12:51:04.305Z,,
148,2143663658,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS592948746,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PE,San Pedro--Campos (Valqui C4.2),Lima,PRESENT,8.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-12.2853,-76.8809,,,,,,,2018-03-25T00:00:00,25,3,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS592948746,,,,CC0_1_0,,obsr88799,,,2021-03-09T13:03:10.346Z,,
158,1198817823,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS284801519,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,"CL-Arica and Parinacota Region - -18.4161x-70.3216 - Nov 14, 2014, 4:31 PM",Arica y Parinacota,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-18.4161,-70.3216,,,,,,,2014-11-14T00:00:00,14,11,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS284801519,,,,CC0_1_0,,obsr176986,,,2021-03-09T12:59:23.453Z,,
208,596759427,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS106099341,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Reserva Natural Punta Rasa (AICA BA07),Buenos Aires,PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.2941,-56.7756,,,,,,,2010-11-30T00:00:00,30,11,2010,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS106099341,,,,CC0_1_0,,obsr110280,,,2021-03-09T13:01:38.811Z,,
245,2117512866,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS563873045,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Río Lluta--Desembocadura,Arica y Parinacota,PRESENT,7.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-18.4165,-70.3224,,,,,,,2018-01-04T00:00:00,4,1,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS563873045,,,,CC0_1_0,,obsr162921,,,2021-03-09T13:01:17.954Z,,
313,2101743171,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS546068028,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Parque Linear Nove de Julho,São Paulo,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.7196,-46.7166,,,,,,,2017-11-01T00:00:00,1,11,2017,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS546068028,,,,CC0_1_0,,obsr777634,,,2021-03-09T12:53:22.177Z,,
314,2226855547,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS676142657,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Campo Andino,Santa Fe,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.2333,-60.5333,,,,,,,2016-11-20T00:00:00,20,11,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS676142657,,,,CC0_1_0,,obsr1096007,,,2021-03-09T12:54:44.369Z,,
348,2725559934,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS873712746,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Praderas de chorlo pampa,Santa Fe,PRESENT,23.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-30.2238,-60.0137,,,,,,,2019-12-28T00:00:00,28,12,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS873712746,,,,CC0_1_0,,obsr642518,,,2021-03-09T12:57:33.628Z,,
362,2176812454,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS633842459,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Mostardas -- Porto do Barquinho,Rio Grande do Sul,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.0481,-50.9908,,,,,,,2017-01-16T00:00:00,16,1,2017,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS633842459,,,,CC0_1_0,,obsr514376,,,2021-03-09T13:02:39.501Z,,
371,2200925047,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS672990620,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Canal 2 (general),Buenos Aires,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.4876,-57.0045,,,,,,,2018-11-03T00:00:00,3,11,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS672990620,,,,CC0_1_0,,obsr86405,,,2021-03-09T13:03:03.290Z,,
376,2660046411,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS725360413,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Estancia Medaland,Buenos Aires,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-37.4319,-57.1917,,,,,,,2019-01-27T00:00:00,27,1,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS725360413,,,,CC0_1_0,,obsr206598,,,2021-03-09T12:54:36.046Z,,
394,2737706197,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS701762334,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,"Rambla Yatay, Solís, Departamento de Maldonado, UY (-34,802, -55,384)",Maldonado,PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.8019,-55.3844,,,,,,,2019-01-20T00:00:00,20,1,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS701762334,,,,CC0_1_0,,obsr521861,,,2021-03-09T13:02:38.360Z,,
407,1197922768,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS283520776,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,PN Campos del Tuyú (AICA BA23),Buenos Aires,PRESENT,111.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.35,-56.8667,,,,,,,2014-11-04T00:00:00,4,11,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS283520776,,,,CC0_1_0,,obsr425850,,,2021-03-09T13:03:22.727Z,,
408,2719908815,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS822440330,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PE,Represa Chacan,Cuzco [Cusco],PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-13.436,-72.1304,,,,,,,2019-10-30T00:00:00,30,10,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS822440330,,,,CC0_1_0,,obsr1003807,,,2021-03-09T12:54:40.549Z,,
422,2656913668,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS706994700,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Desembocadura Río Loa -- Aguas Someras,Tarapacá,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-21.4298,-70.0568,,,,,,,2019-01-18T00:00:00,18,1,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS706994700,,,,CC0_1_0,,obsr929473,,,2021-03-09T13:03:50.083Z,,
476,2742492067,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS714573831,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BO,Laguna Huayrapata,Oruro,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-17.5722,-67.3352,,,,,,,1994-03-19T00:00:00,19,3,1994,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS714573831,,,,CC0_1_0,,obsr140008,,,2021-03-09T12:56:23.700Z,,
504,2715713697,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS871371054,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Perdices,Entre Ríos,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-33.2985,-58.6401,,,,,,,2007-12-08T00:00:00,8,12,2007,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS871371054,,,,CC0_1_0,,obsr503384,,,2021-03-09T13:03:15.223Z,,
592,1721221750,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS381301207,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Humedal de Los Choros,Coquimbo,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-29.3065,-71.3632,,,,,,,2016-03-13T00:00:00,13,3,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS381301207,,,,CC0_1_0,,obsr602057,,,2021-03-09T12:51:31.808Z,,
608,2718699279,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS823144183,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,"Camino lateral que sale del acceso a Mansilla a 4 km de la RP 36, rumbo al NO",Buenos Aires,PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-35.1257,-57.8124,,,,,,,2019-10-31T00:00:00,31,10,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS823144183,,,,CC0_1_0,,obsr308886,,,2021-03-09T12:54:45.526Z,,
652,2761349569,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS814254272,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,(IBA) Esteros del Arroyo Maldonado--Área general,Maldonado,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.8783,-54.9155,,,,,,,2019-10-08T00:00:00,8,10,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS814254272,,,,CC0_1_0,,obsr894198,,,2021-03-09T13:03:32.225Z,,
669,2096944579,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS555329558,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,Paisaje Protegido Laguna de Rocha--Área general,Rocha,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.6183,-54.2921,,,,,,,2017-11-24T00:00:00,24,11,2017,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS555329558,,,,CC0_1_0,,obsr521961,,,2021-03-09T12:53:03.346Z,,
712,2113728269,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS577899647,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,PN Lagoa do Peixe--Trilha do Talha-Mar,Rio Grande do Sul,PRESENT,10.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.2563,-50.9829,,,,,,,2018-02-01T00:00:00,1,2,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS577899647,,,,CC0_1_0,,obsr758808,,,2021-03-09T13:03:44.712Z,,
789,2776937839,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS824042797,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Icapui mangrove,Ceará,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-4.69267,-37.3663,,,,,,,2019-11-03T00:00:00,3,11,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS824042797,,,,CC0_1_0,,obsr307968,,,2021-03-09T13:06:53Z,,
790,2726063991,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS937987423,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BO,Río Desaguadero at Puente Vichaya,La Paz,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-17.1157,-68.78,,,,,,,2006-03-18T00:00:00,18,3,2006,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS937987423,,,,CC0_1_0,,obsr606943,,,2021-03-09T13:06:29.300Z,,
791,964943894,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS210216369,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Campos de Quatipuru,Pará,PRESENT,20.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-1.02614,-46.9644,,,,,,,2013-09-07T00:00:00,7,9,2013,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS210216369,,,,CC0_1_0,,obsr420253,,,2021-03-09T12:59:37.249Z,,
793,2784682505,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS867868077,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,PP Laguna de Rocha--Estero las Nutrias,Rocha,PRESENT,60.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.6808,-54.2956,,,,,,,2019-11-03T00:00:00,3,11,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS867868077,,,,CC0_1_0,,obsr942292,,,2021-03-09T13:04:41.717Z,,
803,2734112624,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS710468418,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,La Paloma--El Cabito,Rocha,PRESENT,5.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.6643,-54.1732,,,,,,,2019-02-14T00:00:00,14,2,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS710468418,,,,CC0_1_0,,obsr435325,,,2021-03-09T12:55:32.994Z,,
805,182724381,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS57968608,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,Estancia el Sauce,Rocha,PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-33.8368,-53.9154,,,,,,,2008-09-30T00:00:00,30,9,2008,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS57968608,,,,CC0_1_0,,obsr54836,,,2021-03-09T12:56:27.432Z,,
848,2774477246,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS818938469,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PY,Asunción--Costanera Norte Parte I,Asunción,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-25.276,-57.6327,,,,,,,2019-10-19T00:00:00,19,10,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS818938469,,,,CC0_1_0,,obsr1012776,,,2021-03-09T13:03:10.753Z,,
856,2157387630,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS611893588,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Almafuerte,Córdoba,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-32.1927,-64.2556,,,,,,,2018-05-05T00:00:00,5,5,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS611893588,,,,CC0_1_0,,obsr623684,,,2021-03-09T13:05:39.204Z,,
865,2157794512,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS625022005,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Ea. Medaland (AICA BA22 -Acceso restringido),Buenos Aires,PRESENT,15.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-37.4313,-57.1921,,,,,,,2018-02-12T00:00:00,12,2,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS625022005,,,,CC0_1_0,,obsr503712,,,2021-03-09T13:03:47.196Z,,
894,2680571362,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS744546239,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,"Playas De Mejillones, Sector empresa Exnaex. - Compañía Fertilizantes, Mejillones, Región de Antofagasta, CL (-23,095, -70,433)",Antofagasta,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.0946,-70.4331,,,,,,,2019-04-06T00:00:00,6,4,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS744546239,,,,CC0_1_0,,obsr1130953,,,2021-03-09T12:55:28.746Z,,
895,2122569663,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS571438675,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PE,RN de Paracas,Ica,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-13.8715,-76.2828,,,,,,,1987-11-11T00:00:00,11,11,1987,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS571438675,,,,CC0_1_0,,obsr777516,,,2021-03-09T13:00:58.707Z,,
899,2233184394,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS691619704,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Açude do rombo grande,Rio Grande do Sul,PRESENT,10.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-32.2952,-52.9002,,,,,,,2018-12-28T00:00:00,28,12,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS691619704,,,,CC0_1_0,,obsr826311,,,2021-03-09T13:13:00.194Z,,
907,1787555518,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS483658283,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Peruibe,São Paulo,PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-24.2955,-47.0312,,,,,,,2016-10-22T00:00:00,22,10,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS483658283,,,,CC0_1_0,,obsr610497,,,2021-03-09T12:52:32.843Z,,
917,2141634941,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS581421606,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Pedro Osório--Banhado do Arroio Moreira,Rio Grande do Sul,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.94,-52.7539,,,,,,,2018-02-17T00:00:00,17,2,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS581421606,,,,CC0_1_0,,obsr766921,,,2021-03-09T13:05:40.604Z,,
