,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
88353,2786267837,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS843396099,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Establecimiento El Maleficio,Santa Fe,PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-30.4775,-59.9793,,,,,,,2019-12-28T00:00:00,28,12,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS843396099,,,,CC0_1_0,,obsr435325,,,2021-03-09T12:55:40.331Z,,
88357,1405362455,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS365213847,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Río Lluta--Desembocadura,Arica y Parinacota,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-18.4165,-70.3224,,,,,,,2015-12-11T00:00:00,11,12,2015,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS365213847,,,,CC0_1_0,,obsr518434,,,2021-03-09T13:00:26.941Z,,
88368,1761280004,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS429790463,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Florianópolis--Praia da Daniela-Manguezal de Ratones,Santa Catarina,PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-27.454,-48.5414,,,,,,,2016-09-14T00:00:00,14,9,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS429790463,,,,CC0_1_0,,obsr526456,,,2021-03-09T12:52:27.768Z,,
88413,971506388,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS217529514,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Bajos Submeridionales. Pto. Aguará Guazú,Santa Fe,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-28.5604,-60.1842,,,,,,,2013-11-04T00:00:00,4,11,2013,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS217529514,,,,CC0_1_0,,obsr414006,,,2021-03-09T12:50:52.213Z,,
88415,2129636550,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS568157147,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Lagoa da Barra,Rio de Janeiro,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-22.9504,-42.8095,,,,,,,2018-01-07T00:00:00,7,1,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS568157147,,,,CC0_1_0,,obsr881831,,,2021-03-09T12:53:26.210Z,,
88439,2211827417,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS658933586,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PE,"PE-Madre de Dios (-12.4214,-70.6974)",Madre de Dios,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-12.4214,-70.6974,,,,,,,2018-09-19T00:00:00,19,9,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS658933586,,,,CC0_1_0,,obsr206950,,,2021-03-09T12:53:59.120Z,,
88508,1777303924,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS447328037,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Ilha do Mel,Paraná,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-25.5547,-48.3027,,,,,,,2016-11-24T00:00:00,24,11,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS447328037,,,,CC0_1_0,,obsr777634,,,2021-03-09T13:11:46.908Z,,
88520,2695450452,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS803010040,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,UY,La Paloma--Puerto,Rocha,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-34.6543,-54.1427,,,,,,,2019-09-08T00:00:00,8,9,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS803010040,,,,CC0_1_0,,obsr731952,,,2021-03-09T12:55:09.231Z,,
88525,2668779560,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS745897585,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Reserva de Biósfera Laguna de los Pozuelos (AICA JU15),Jujuy,PRESENT,19.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-22.4075,-66.0055,,,,,,,2009-03-23T00:00:00,23,3,2009,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS745897585,,,,CC0_1_0,,obsr941983,,,2021-03-09T13:03:08.937Z,,
88533,839783216,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS155531814,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,SN Humedal Salinas de Pullally y Dunas de Longotoma--Desembocadura,Valparaíso,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-32.4101,-71.4108,,,,,,,2012-06-02T00:00:00,2,6,2012,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS155531814,,,,CC0_1_0,,obsr274194,,,2021-03-09T13:02:38.657Z,,
