,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
147817,1/26/2010 0:00,3.0,-31.871434999999998,-58.211575,26.0,1.0,2010.0
147929,12/17/2020 0:00,1.0,-35.234962,-57.273617,17.0,12.0,2020.0
148197,12/23/2016 0:00,5.0,-35.995293,-63.88214,23.0,12.0,2016.0
149011,12/17/2020 0:00,2.0,-34.461372,-57.724022,17.0,12.0,2020.0
149380,12/30/2017 0:00,1.0,-19.815224,-56.916157,30.0,12.0,2017.0
149841,12/9/2015 0:00,1.0,-38.656895,-59.048767000000005,9.0,12.0,2015.0
150006,11/15/2015 0:00,1.0,-38.51473,-58.741369999999996,15.0,11.0,2015.0
150276,12/13/2019 0:00,1.0,-34.53852,-58.443703,13.0,12.0,2019.0
150346,12/3/2017 0:00,1.0,-34.555058,-58.442276,3.0,12.0,2017.0
150933,12/22/2016 0:00,1.0,-38.22703,-59.612193999999995,22.0,12.0,2016.0
151195,2/12/2018 0:00,1.0,-17.463434,-63.65951999999999,12.0,2.0,2018.0
151211,1/1/2016 0:00,6.0,-38.162636,-58.767242,1.0,1.0,2016.0
151649,11/6/1980 0:00,1.0,-11.888369,-71.40795,6.0,11.0,1980.0
152224,11/17/2017 0:00,1.0,-34.236126,-58.654427,17.0,11.0,2017.0
152427,12/17/2015 0:00,1.0,-38.51177,-58.58379,17.0,12.0,2015.0
152507,12/21/2020 0:00,15.0,-37.120765999999996,-63.85,21.0,12.0,2020.0
152802,1/10/2016 0:00,1.0,-38.597202,-58.883255000000005,10.0,1.0,2016.0
152919,12/5/2011 0:00,300.0,-33.260059999999996,-57.104015000000004,5.0,12.0,2011.0
153567,3/4/2015 0:00,1.0,-32.63089,-62.274930000000005,4.0,3.0,2015.0
153583,2/13/2020 0:00,16.0,-34.451584000000004,-57.71674300000001,13.0,2.0,2020.0
154314,12/3/2017 0:00,52.0,-34.606384000000006,-58.435795,3.0,12.0,2017.0
154717,11/7/2014 0:00,1.0,-33.269740000000006,-57.09333,7.0,11.0,2014.0
154736,12/4/2012 0:00,8.0,-33.427498,-57.017140000000005,4.0,12.0,2012.0
154896,9/2/2019 0:00,1.0,-18.35059,-63.974106000000006,2.0,9.0,2019.0
154956,11/20/2020 0:00,50.0,-28.228802,-61.687416000000006,20.0,11.0,2020.0
155157,11/6/2016 0:00,50.0,-37.744385,-57.42699399999999,6.0,11.0,2016.0
156490,4/4/2017 0:00,1.0,-32.19338,-53.751000000000005,4.0,4.0,2017.0
156977,12/10/2017 0:00,5.0,-34.787445,-58.39929,10.0,12.0,2017.0
157017,11/19/2007 0:00,3.0,-31.871434999999998,-58.211575,19.0,11.0,2007.0
157051,2/3/2020 0:00,10.0,-31.871434999999998,-58.211575,3.0,2.0,2020.0
157647,12/3/2009 0:00,300.0,-32.474724,-58.089890000000004,3.0,12.0,2009.0
158030,11/24/2018 0:00,200.0,-31.871434999999998,-58.211575,24.0,11.0,2018.0
158050,1/10/2016 0:00,55.0,-33.987567999999996,-58.214752000000004,10.0,1.0,2016.0
158306,2/17/2019 0:00,8.0,-31.871434999999998,-58.211575,17.0,2.0,2019.0
158691,11/30/2016 0:00,1.0,-34.878296,-54.915516000000004,30.0,11.0,2016.0
159012,1/8/2019 0:00,8.0,-38.01746,-60.633728000000005,8.0,1.0,2019.0
